batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_score,R2_score,R3_score,R1_Token1,R1_Token2,R1_Token3,R1_Token4,R1_Token5,R2_Token1,R2_Token2,R2_Token3,R2_Token4,R2_Token5,R3_Token1,R3_Token2,R3_Token3,R3_Token4,R3_Token5
1,1,811,Fat fucking funky nasty ass hoes,A_conf,"OL100, HS70","OL90, NH95","OL100, NH95","['OL', 'HS']","['OL', 'NH']","['OL', 'NH']","['100', '70']","['90', '95']","['100', '95']","OL     0.000 
 OL   -17.500
AL    -19.750
UL    -21.750
OW    -21.875
dtype: float64","90    -0.743974 
95    -0.993974 
100   -1.868974 
85    -7.993974 
98    -10.618974
dtype: float64",",     0.000 
;    -22.875
 ,   -24.375
，    -25.625
:    -26.500
dtype: float64"," HS   -0.038048 
 NH   -3.288048 
 NS   -12.288048
 NO   -13.788048
 H    -15.038048
dtype: float64","90   -0.910731
80   -1.035731
0    -1.910731
70   -3.160731
50   -4.160730
dtype: float64","OL     0.000 
 OL   -17.375
AL    -19.500
UL    -20.875
OW    -21.250
dtype: float64","100   -1.058962 
95    -1.058962 
90    -1.183962 
85    -8.308962 
98    -10.683962
dtype: float64",",     0.000 
;    -24.250
 ,   -25.250
，    -26.375
،    -27.250
dtype: float64"," NH   -0.000004 
 HS   -12.500005
 NO   -14.250005
 NS   -17.750004
NH    -18.750004
dtype: float64","95    -0.487807
85    -0.987807
100   -5.237807
80    -5.362807
90    -5.737807
dtype: float64","OL     0.000 
 OL   -17.750
AL    -20.000
UL    -22.000
OW    -22.125
dtype: float64","90    -0.958443 
95    -0.958443 
100   -1.458443 
85    -7.958443 
98    -10.458443
dtype: float64",",     0.000 
;    -23.250
 ,   -25.125
，    -26.250
:    -27.000
dtype: float64"," NH   -0.313268 
 HS   -1.313268 
 NS   -12.563269
 NO   -12.813269
 H    -15.063269
dtype: float64","90    -0.102359
95    -2.352359
85    -6.227359
100   -9.227359
80    -9.602359
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,B_conf,"NH90, OL95","NH90, OL100","NH95, OL90","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '95']","['90', '100']","['95', '90']","HS   -0.693151 
NH   -0.693151 
HH   -13.568151
HN   -14.068151
H    -14.818151
dtype: float64","90   -1.070942
80   -1.320942
70   -1.320942
85   -3.070941
10   -3.320941
dtype: float64",",     0.000 
;    -23.750
 ,   -24.875
，    -25.500
،    -26.000
dtype: float64"," OL    0.000 
OL    -19.750
      -23.750
 O    -25.250
 AL   -25.375
dtype: float64","100   -0.479597 
95    -0.979597 
90    -5.354597 
85    -7.229597 
80    -10.229597
dtype: float64","NH   -0.313264 
HS   -1.313264 
HH   -14.188264
HN   -14.313264
H    -14.938264
dtype: float64","80   -1.049946
70   -1.299946
90   -1.424946
85   -2.674946
75   -3.299946
dtype: float64",",     0.000 
;    -23.875
 ,   -24.750
，    -25.750
،    -25.875
dtype: float64"," OL    0.000 
OL    -20.000
      -24.250
 O    -24.875
 ol   -25.250
dtype: float64","95    -0.531417
100   -0.906417
90    -5.156417
85    -6.031417
80    -9.531418
dtype: float64","HS   -0.693151 
NH   -0.693151 
HH   -13.568151
HN   -14.068151
H    -14.818151
dtype: float64","90   -1.070942
80   -1.320942
70   -1.320942
85   -3.070941
10   -3.320941
dtype: float64",",     0.000 
 ,   -24.375
;    -24.625
，    -25.625
.    -25.875
dtype: float64"," OL    0.000 
OL    -19.750
      -23.375
 O    -24.875
 AL   -25.000
dtype: float64","100   -0.504191
90    -1.004191
95    -3.754191
85    -5.129191
98    -8.754191
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,C.OL_conf,OL95,OL100,OL95,['OL'],['OL'],['OL'],['95'],['100'],['95'],"OL     0.000 
 OL   -17.875
AL    -19.750
UL    -21.750
OLA   -21.750
dtype: float64","95    -0.394199
100   -1.144199
90    -5.144199
98    -7.019199
99    -7.644199
dtype: float64",,,,"OL     0.000 
 OL   -17.875
AL    -21.000
OLA   -22.750
OW    -23.000
dtype: float64","100   -0.144286
95    -2.019286
90    -6.769286
98    -8.269285
99    -8.644285
dtype: float64",,,,"OL     0.000 
 OL   -17.875
AL    -19.625
UL    -21.625
OLA   -21.625
dtype: float64","95    -0.435757
100   -1.060757
90    -5.185758
98    -6.935758
99    -7.935758
dtype: float64",,,
1,1,811,Fat fucking funky nasty ass hoes,C.HS_conf,HS90,HS90,HS85,['HS'],['HS'],['HS'],['90'],['90'],['85'],"HS    -0.000002 
H     -13.500002
NH    -14.750002
 HS   -16.750002
HN    -18.250002
dtype: float64","85   -0.45321
90   -1.07821
95   -3.95321
75   -5.32821
80   -9.70321
dtype: float64",,,,"HS    -9.088346e-07
H     -1.437500e+01
NH    -1.512500e+01
 HS   -1.687500e+01
HN    -1.862500e+01
dtype: float64","85   -0.669167 
90   -0.794167 
95   -3.419167 
75   -5.794167 
80   -10.044167
dtype: float64",,,,"HS    -9.088346e-07
H     -1.437500e+01
NH    -1.512500e+01
 HS   -1.687500e+01
HN    -1.862500e+01
dtype: float64","85   -0.669578
90   -0.794578
95   -3.419578
75   -5.669578
80   -9.919578
dtype: float64",,,
1,2,742,Up early then a bitch driving to denton omg can I move already,A_conf,"OL90, NH95","OL90, NH95","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['90', '95']","['90', '95']","OL     0.000 
 OL   -17.250
AL    -18.000
UL    -20.625
OW    -20.625
dtype: float64","90    -0.371998
80    -1.996998
100   -2.121998
85    -2.996998
95    -5.371998
dtype: float64",",     0.000 
 ,   -24.250
;    -24.625
,N   -24.625
，    -25.625
dtype: float64"," NH   -0.000002 
 NO   -13.250002
NH    -19.250002
 N    -20.000002
 NS   -21.625002
dtype: float64","95    -0.036434
100   -3.786434
85    -4.536434
90    -6.536434
99    -7.661434
dtype: float64","OL     0.000 
 OL   -17.125
AL    -18.500
OW    -20.500
UL    -20.750
dtype: float64","90    -0.301148
100   -2.426148
80    -2.426148
85    -2.551148
95    -5.301148
dtype: float64",",     0.000 
 ,   -24.000
;    -24.500
,N   -24.625
，    -25.375
dtype: float64"," NH   -0.000004 
 NO   -12.500004
NH    -19.000004
 N    -20.000004
 NS   -21.000004
dtype: float64","95    -0.028991
100   -4.028992
85    -4.778992
90    -6.653992
99    -7.278992
dtype: float64","OL     0.000 
 OL   -17.500
AL    -18.250
OW    -20.625
UL    -21.000
dtype: float64","90    -0.477988
100   -1.852988
80    -2.102988
85    -2.352988
95    -5.227987
dtype: float64",",     0.000 
 ,   -24.125
;    -24.625
,N   -24.750
，    -25.500
dtype: float64"," NH   -0.000002 
 NO   -13.250002
NH    -19.250002
 N    -20.000002
 NS   -21.250002
dtype: float64","95    -0.059565
85    -3.184565
100   -4.309565
90    -6.184565
80    -7.559565
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,B_conf,"NH80, OL90","NH90, OL80","NH85, OL90","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['80', '90']","['90', '80']","['85', '90']","NH    -4.320200e-07
 NH   -1.500000e+01
Nh    -1.950000e+01
NS    -2.037500e+01
NN    -2.037500e+01
dtype: float64","90   -0.429859
85   -1.179859
80   -3.179859
95   -8.179859
75   -9.054859
dtype: float64",",     0.000 
 ,   -23.750
;    -24.375
，    -24.750
،    -25.375
dtype: float64"," OL    0.000 
OL    -19.250
      -23.875
 O    -24.375
 ol   -24.875
dtype: float64","90    -0.035769
100   -3.410769
85    -6.785769
95    -7.160769
80    -8.785769
dtype: float64","NH    -4.320200e-07
 NH   -1.500000e+01
Nh    -1.950000e+01
NS    -2.037500e+01
NN    -2.037500e+01
dtype: float64","90   -0.429859
85   -1.179859
80   -3.179859
95   -8.179859
75   -9.054859
dtype: float64",",     0.000 
;    -24.625
 ,   -24.875
，    -25.250
،    -25.625
dtype: float64"," OL    0.000 
OL    -20.250
 O    -24.000
      -24.125
 UL   -25.375
dtype: float64","85    -0.965234
80    -1.465234
100   -1.840234
90    -1.840234
95    -2.715234
dtype: float64","NH    -4.320200e-07
 NH   -1.500000e+01
Nh    -1.950000e+01
NS    -2.037500e+01
NN    -2.037500e+01
dtype: float64","90   -0.429859
85   -1.179859
80   -3.179859
95   -8.179859
75   -9.054859
dtype: float64",",     0.000 
;    -24.750
 ,   -25.250
，    -25.500
،    -26.375
dtype: float64"," OL    0.000 
OL    -20.375
      -23.500
 AL   -24.750
 O    -24.875
dtype: float64","90    -0.051691
95    -3.051691
100   -6.176691
75    -7.301691
80    -8.676691
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,C.OL_conf,OL90,OL85,OL85,['OL'],['OL'],['OL'],['90'],['85'],['85'],"OL    -0.000096 
NO    -9.250096 
AL    -17.375095
 OL   -17.500095
OW    -19.625095
dtype: float64","85    -0.679086
90    -0.929086
80    -2.929086
95    -3.304086
100   -5.179086
dtype: float64",,,,"OL    -0.000008 
NO    -11.750008
 OL   -18.125008
AL    -18.250008
OW    -19.875008
dtype: float64","85   -0.340617
90   -1.590617
80   -2.715617
95   -4.215617
75   -5.715617
dtype: float64",,,,"OL    -0.000008 
NO    -11.750008
 OL   -18.125008
AL    -18.250008
OW    -19.875008
dtype: float64","85   -0.409595
90   -1.409595
80   -2.659595
95   -4.034595
75   -5.659595
dtype: float64",,,
1,2,742,Up early then a bitch driving to denton omg can I move already,C.HS_conf,NH75,NH75,NH75,['NH'],['NH'],['NH'],['75'],['75'],['75'],"NH    -4.320200e-07
 NH   -1.487500e+01
N     -1.787500e+01
The   -1.800000e+01
NM    -1.825000e+01
dtype: float64","85   -0.210969
75   -1.710969
90   -5.210968
70   -5.710968
80   -7.210968
dtype: float64",,,,"NH    -5.512236e-07
 NH   -1.475000e+01
N     -1.712500e+01
NM    -1.812500e+01
NF    -1.825000e+01
dtype: float64","85   -0.321313
75   -1.321313
70   -5.571313
90   -5.696313
80   -7.071313
dtype: float64",,,,"NH    -4.320200e-07
 NH   -1.487500e+01
N     -1.725000e+01
NM    -1.837500e+01
The   -1.850000e+01
dtype: float64","85   -0.134351
75   -2.134351
90   -5.259351
70   -6.509351
80   -7.259351
dtype: float64",,,
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,A_conf,"NO100, NH100","NO100, NH100","NO100, NH100","['NO', 'NH']","['NO', 'NH']","['NO', 'NH']","['100', '100']","['100', '100']","['100', '100']","NO    -0.000004 
OL    -12.625004
 NO   -15.875004
NL    -17.000004
N     -17.125004
dtype: float64","100   -0.004292 
95    -6.004292 
90    -6.504292 
99    -8.129292 
80    -11.004292
dtype: float64",",     0.000 
;    -24.250
 ,   -24.500
,N   -24.875
，    -26.125
dtype: float64"," NH   -6.704273e-07
 NO   -1.425000e+01
NH    -1.975000e+01
 N    -2.225000e+01
 NM   -2.250000e+01
dtype: float64","100   -0.010362 
95    -4.760362 
90    -6.385362 
99    -9.885362 
98    -11.885362
dtype: float64","NO    -0.000003 
OL    -12.875003
 NO   -14.750003
N     -15.625003
No    -16.625004
dtype: float64","100   -0.005983 
95    -5.755983 
90    -6.005983 
99    -8.130983 
80    -10.255983
dtype: float64",",     0.000 
 ,   -24.250
;    -24.500
,N   -24.625
，    -25.750
dtype: float64"," NH   -0.000001 
 NO   -13.750001
NH    -19.250002
 N    -21.250002
 NM   -21.750002
dtype: float64","100   -0.004659 
95    -5.504659 
90    -7.504659 
99    -10.629659
98    -12.254659
dtype: float64","NO    -0.000004 
OL    -12.500005
 NO   -14.625005
N     -15.500005
No    -16.375004
dtype: float64","100   -0.009732
95    -5.259732
90    -5.509732
99    -7.884732
80    -9.884732
dtype: float64",",     0.000 
 ,   -24.375
;    -24.625
,N   -25.000
，    -26.000
dtype: float64"," NH   -0.000001 
 NO   -13.750001
NH    -19.250002
 N    -21.250002
 NM   -21.750002
dtype: float64","100   -0.007771 
95    -5.007771 
90    -6.882771 
99    -10.632771
98    -12.257771
dtype: float64"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,B_conf,"NH90, NO100","NH90, NO100","NH95, NO100","['NH', 'NO']","['NH', 'NO']","['NH', 'NO']","['90', '100']","['90', '100']","['95', '100']","NH    -4.320200e-07
 NH   -1.500000e+01
N     -1.900000e+01
Nh    -1.975000e+01
nh    -2.087500e+01
dtype: float64","90    -0.165628 
95    -1.915628 
100   -5.540628 
85    -6.540628 
80    -10.915627
dtype: float64",",     0.000 
 ,   -25.125
，    -25.625
،    -25.625
;    -25.875
dtype: float64"," NO    -0.000001 
 N     -14.000001
 NH    -15.000001
NO     -16.000002
 NOI   -17.625002
dtype: float64","100   -0.079257
95    -2.704257
85    -5.454257
90    -5.954257
80    -6.079257
dtype: float64","NH    -3.128163e-07
 NH   -1.537500e+01
Nh    -1.925000e+01
N     -2.050000e+01
nh    -2.075000e+01
dtype: float64","90    -0.134026 
95    -2.134026 
100   -5.134026 
85    -6.759026 
80    -11.009026
dtype: float64",",     0.000 
 ,   -26.125
，    -26.750
،    -26.875
;    -27.000
dtype: float64"," NO    -0.000002 
 N     -13.750002
 NH    -15.500002
NO     -16.000002
 NOI   -17.375002
dtype: float64","100   -0.034686
95    -3.409686
90    -7.784686
85    -8.034686
80    -8.659686
dtype: float64","NH    -3.128163e-07
 NH   -1.537500e+01
Nh    -1.925000e+01
N     -2.050000e+01
nh    -2.075000e+01
dtype: float64","90    -0.133335 
95    -2.133335 
100   -5.258335 
85    -6.758335 
80    -10.883335
dtype: float64",",     0.000 
;    -27.125
 ,   -27.500
،    -27.750
,N   -27.750
dtype: float64"," NO   -4.320200e-07
 N    -1.575000e+01
 NH   -1.575000e+01
NO    -1.650000e+01
 No   -1.862500e+01
dtype: float64","100   -0.107409
90    -2.357409
85    -5.607409
80    -6.232409
95    -6.732409
dtype: float64"
