batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_score,R2_score,R3_score,R1_Token1,R1_Token2,R1_Token3,R1_Token4,R1_Token5,R2_Token1,R2_Token2,R2_Token3,R2_Token4,R2_Token5,R3_Token1,R3_Token2,R3_Token3,R3_Token4,R3_Token5
1,1,811,Fat fucking funky nasty ass hoes,A_conf,"OL99, NH95","OL99, NH98","OL100, NH99","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['99', '95']","['99', '98']","['100', '99']","OL    0.000038
dtype: float64","99    -0.326843
100   -1.326843
dtype: float64",",    0.000011
dtype: float64"," NH    0.000019
dtype: float64","98   -0.800205
96   -1.550205
95   -2.175205
99   -2.175205
97   -2.300205
dtype: float64","OL    0.000038
dtype: float64","99    -0.326843
100   -1.326843
dtype: float64",",    0.000011
dtype: float64"," NH    0.000019
dtype: float64","98   -0.800205
96   -1.550205
95   -2.175205
99   -2.175205
97   -2.300205
dtype: float64","OL    0.000015
dtype: float64","100   -0.319748
99    -1.319748
dtype: float64",",    0.000008
dtype: float64"," NH    0.0
dtype: float64","99   -0.412853
95   -1.912853
98   -2.412853
96   -3.412853
1    -4.162853
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,B_conf,"NH5, OL99","NH5, OL100","NH5, OL100","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['5', '99']","['5', '100']","['5', '100']","NH   -0.000648
dtype: float64","5    -0.353142
10   -1.603142
95   -3.103142
20   -3.853142
90   -4.603142
dtype: float64",",   -0.000023
dtype: float64"," OL   -0.000015
dtype: float64","99    -0.095692
100   -2.595692
dtype: float64","NH   -0.000267
dtype: float64","5    -0.205605
10   -1.955605
1    -3.955605
20   -4.455605
dtype: float64",",   -0.000031
dtype: float64"," OL   -0.000008
dtype: float64","99    -0.218304
100   -1.718304
dtype: float64","NH   -0.000267
dtype: float64","5    -0.209206
10   -1.959206
1    -3.959206
20   -4.209206
dtype: float64",",   -0.000023
dtype: float64"," OL    0.0
dtype: float64","99    -0.142975
100   -2.142975
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,C.OL_conf,OL100,OL99,OL100,['OL'],['OL'],['OL'],['100'],['99'],['100'],"OL    0.000038
dtype: float64","100   -0.315617
99    -1.315617
dtype: float64",,,,"OL   -0.000057
dtype: float64","99    -0.578262
100   -0.828262
dtype: float64",,,,"OL   -0.000057
dtype: float64","99    -0.578262
100   -0.828262
dtype: float64",,,
1,1,811,Fat fucking funky nasty ass hoes,C.HS_conf,NH90,NH88,NH72,['NH'],['NH'],['NH'],['90'],['88'],['72'],"NH   -0.079025
HS   -2.579025
dtype: float64","92   -1.689083
72   -1.689083
86   -1.939083
88   -2.439083
85   -2.939083
dtype: float64",,,,"NH   -0.474335
HS   -0.974335
dtype: float64","92   -1.623318
72   -1.623318
86   -2.123318
85   -2.373318
88   -2.623318
dtype: float64",,,,"NH   -0.079025
HS   -2.579025
dtype: float64","92   -1.689083
72   -1.689083
86   -1.939083
88   -2.439083
85   -2.939083
dtype: float64",,,
1,2,742,Up early then a bitch driving to denton omg can I move already,A_conf,"OL92, NH98","OL95, NH98","OL95, NH99","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['92', '98']","['95', '98']","['95', '99']","OL    0.000015
dtype: float64","95   -0.552315
92   -1.302315
90   -2.552315
96   -3.802315
93   -4.302315
dtype: float64",",   -0.000004
dtype: float64"," NH   -0.00005
dtype: float64","96   -0.797924
98   -1.297924
97   -1.672924
95   -2.672924
dtype: float64","OL    0.000015
dtype: float64","95   -0.552315
92   -1.302315
90   -2.552315
96   -3.802315
93   -4.302315
dtype: float64",",    0.000008
dtype: float64"," NH    0.000023
dtype: float64","98   -0.621344
99   -1.246344
95   -2.746344
96   -2.996344
97   -3.246344
dtype: float64","OL    0.000015
dtype: float64","95   -0.552315
92   -1.302315
90   -2.552315
96   -3.802315
93   -4.302315
dtype: float64",",    0.000008
dtype: float64"," NH    0.000023
dtype: float64","98   -0.621344
99   -1.246344
95   -2.746344
96   -2.996344
97   -3.246344
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,B_conf,"NH95, OL96","NH90, OL95","NH100, OL99","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['95', '96']","['90', '95']","['100', '99']","NH    0.000038
dtype: float64","95   -0.233791
90   -2.733791
99   -3.108791
98   -3.483791
96   -3.858791
dtype: float64",",    0.000034
dtype: float64"," OL    0.000034
dtype: float64","98   -0.72617
96   -1.72617
99   -1.97617
92   -2.97617
97   -2.97617
dtype: float64","NH    0.000015
dtype: float64","95    -0.236458
90    -2.486458
99    -3.236458
98    -3.611458
100   -3.736458
dtype: float64",",    0.000008
dtype: float64"," OL    0.000008
dtype: float64","95   -0.825773
96   -1.200773
98   -1.950773
97   -2.950773
99   -3.700773
dtype: float64","NH    0.000038
dtype: float64","95   -0.233791
90   -2.733791
99   -3.108791
98   -3.483791
96   -3.858791
dtype: float64",",   -0.000015
dtype: float64"," OL   -0.000042
dtype: float64","96   -1.237692
95   -1.612692
98   -1.862692
97   -2.487692
99   -2.487692
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,C.OL_conf,OL99,OL98,OL96,['OL'],['OL'],['OL'],['99'],['98'],['96'],"OL    0.000027
dtype: float64","96   -1.217674
97   -1.217674
98   -1.967674
95   -1.967674
94   -2.717674
dtype: float64",,,,"OL    0.000027
dtype: float64","96   -1.217674
97   -1.217674
98   -1.967674
95   -1.967674
94   -2.717674
dtype: float64",,,,"OL    0.000027
dtype: float64","96   -1.217674
97   -1.217674
98   -1.967674
95   -1.967674
94   -2.717674
dtype: float64",,,
1,2,742,Up early then a bitch driving to denton omg can I move already,C.HS_conf,NH90,NH92,NH85,['NH'],['NH'],['NH'],['90'],['92'],['85'],"NH   -0.000572
dtype: float64","92   -1.315502
86   -1.565502
88   -1.565502
90   -2.815502
93   -3.065502
dtype: float64",,,,"NH   -0.000572
dtype: float64","92   -1.315502
86   -1.565502
88   -1.565502
90   -2.815502
93   -3.065502
dtype: float64",,,,"NH   -0.000572
dtype: float64","92   -1.315502
86   -1.565502
88   -1.565502
90   -2.815502
93   -3.065502
dtype: float64",,,
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,A_conf,"NO95, NH98","NO95, NH99","NO90, NH95","['NO', 'NH']","['NO', 'NH']","['NO', 'NH']","['95', '98']","['95', '99']","['90', '95']","NO   -0.000023
dtype: float64","95   -0.523167
90   -1.273167
92   -2.273167
96   -5.023167
dtype: float64",",    0.000011
dtype: float64"," NH   -0.000027
dtype: float64","95   -0.758881
98   -1.008881
99   -1.883881
dtype: float64","NO   -0.000023
dtype: float64","95   -0.523167
90   -1.273167
92   -2.273167
96   -5.023167
dtype: float64",",    0.000011
dtype: float64"," NH   -0.000027
dtype: float64","95   -0.758881
98   -1.008881
99   -1.883881
dtype: float64","NO    0.000053
dtype: float64","95   -0.610634
90   -0.860634
92   -4.110634
dtype: float64",",   -0.000065
dtype: float64"," NH    0.000008
dtype: float64","95   -0.061817
98   -3.436817
90   -4.436817
dtype: float64"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,B_conf,"NH99, NO99","NH99, NO98","NH99, NO99","['NH', 'NO']","['NH', 'NO']","['NH', 'NO']","['99', '99']","['99', '98']","['99', '99']","NH   -0.000019
dtype: float64","95   -0.926849
98   -1.176849
99   -1.426849
96   -3.426849
97   -3.926849
dtype: float64",",    0.000027
dtype: float64"," NO   -0.000057
dtype: float64","99   -0.966335
98   -1.466335
95   -1.716335
96   -2.216335
97   -2.716335
dtype: float64","NH   -0.000004
dtype: float64","99    -0.594139
98    -1.344139
95    -2.094139
100   -3.594139
97    -3.969139
dtype: float64",",    0.000008
dtype: float64"," NO   -0.000072
dtype: float64","99   -0.837906
98   -1.337906
95   -2.087906
96   -2.587906
97   -2.837906
dtype: float64","NH   -0.000004
dtype: float64","99    -0.594139
98    -1.344139
95    -2.094139
100   -3.594139
97    -3.969139
dtype: float64",",    0.000008
dtype: float64"," NO   -0.000072
dtype: float64","99   -0.837906
98   -1.337906
95   -2.087906
96   -2.587906
97   -2.837906
dtype: float64"
