batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_label,R2_label,R3_label,R1_score,R2_score,R3_score
1,1,811,Fat fucking funky nasty ass hoes,A_batch_conf,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['99', '97']","['99', '98']","['99', '98']"
1,1,811,Fat fucking funky nasty ass hoes,B_batch_conf,"['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['97', '99']","['98', '99']","['97', '99']"
1,1,811,Fat fucking funky nasty ass hoes,C.HS_batch_conf,['NH'],['NH'],['NH'],['96'],['95'],['97']
1,1,811,Fat fucking funky nasty ass hoes,C.OL_batch_conf,['OL'],['OL'],['OL'],['99'],['99'],['99']
1,2,742,Up early then a bitch driving to denton omg can I move already,A_batch_conf,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['92', '98']","['90', '99']","['96', '99']"
1,2,742,Up early then a bitch driving to denton omg can I move already,B_batch_conf,"['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['98', '95']","['95', '92']","['95', '96']"
1,2,742,Up early then a bitch driving to denton omg can I move already,C.HS_batch_conf,['NH'],['NH'],['NH'],['98'],['98'],['96']
1,2,742,Up early then a bitch driving to denton omg can I move already,C.OL_batch_conf,['OL'],['OL'],['OL'],['98'],['96'],['96']
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,A_batch_conf,"['NO', 'NH']","['NO', 'NH']","['NO', 'NH']","['95', '99']","['96', '99']","['96', '99']"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,B_batch_conf,"['NH', 'NO']","['NH', 'NO']","['NH', 'NO']","['99', '99']","['99', '99']","['99', '99']"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,C.HS_batch_conf,['NH'],['NH'],['NH'],['99'],['99'],['99']
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,C.OL_batch_conf,['NO'],['NO'],['NO'],['95'],['98'],['98']
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,A_batch_conf,"['OL', 'NH']","['OL', 'HS']","['OL', 'HS']","['88', '80']","['92', '62']","['82', '58']"
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,B_batch_conf,"['HS', 'OL']","['HS', 'OL']","['NH', 'OL']","['62', '86']","['78', '88']","['72', '88']"
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,C.HS_batch_conf,['NH'],['NH'],['NH'],['68'],['72'],['78']
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,C.OL_batch_conf,['OL'],['OL'],['OL'],['92'],['84'],['88']
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,A_batch_conf,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['96', '99']","['97', '95']","['98', '96']"
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,B_batch_conf,"['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['96', '97']","['96', '94']","['93', '98']"
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,C.HS_batch_conf,['NH'],['NH'],['NH'],['97'],['96'],['95']
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,C.OL_batch_conf,['OL'],['OL'],['OL'],['97'],['97'],['96']
1,6,2528,Fuck that shit I'm out this bitch,A_batch_conf,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['99', '99']","['99', '99']","['99', '99']"
1,6,2528,Fuck that shit I'm out this bitch,B_batch_conf,"['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['99', '99']","['99', '97']","['98', '99']"
