batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_label,R2_label,R3_label,R1_score,R2_score,R3_score
3,5,1,@###### bro that hoe live,A_batch_conf,"['OL', 'HS']","['OL', 'NH']","['OL', 'HS']","['80', '60']","['100', '0']","['90', '70']"
3,5,1,@###### bro that hoe live,B_batch_conf,['NH'],['NH'],['OL'],['80'],['80'],['20']
3,5,1,@###### bro that hoe live,C.HS_batch_conf,['HS'],['HS'],['NH'],['95'],['80'],['80']
3,5,1,@###### bro that hoe live,C.OL_batch_conf,['OL'],['OL'],['OL'],['92'],['80'],['70']
25,1,2,"Stop using the word ""redskin(s)"".",A_batch_conf,['OL'],"['OL', 'NH']","['OL', 'NH']",['95'],"['80', '40']","['100', '100']"
25,1,2,"Stop using the word ""redskin(s)"".",B_batch_conf,"['NH', 'NO']",['NH'],['NH'],"['80', '0']",['70'],['90']
25,1,2,"Stop using the word ""redskin(s)"".",C.HS_batch_conf,['NH'],['NH'],['NH'],['80'],['100'],['95']
25,1,2,"Stop using the word ""redskin(s)"".",C.OL_batch_conf,['OL'],['OL'],['OL'],['80'],['100'],['100']
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,A_batch_conf,['NO'],"['OL', 'NH']","['OL', 'HS']",['20'],"['70', '30']","['70', '70']"
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,B_batch_conf,"['OL', 'HS']",['OL'],['HS'],"['80', '70']",['0'],['40']
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,C.HS_batch_conf,['NH'],['HS'],['HS'],['60'],['40'],['80']
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,C.OL_batch_conf,['OL'],['OL'],['OL'],['60'],['75'],['100']
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,A_batch_conf,"['OL', 'NH']",['HS'],"['OL', 'NH']","['80', '80']",['90'],"['90', '80']"
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,B_batch_conf,['NO'],"['OL', 'NH']",['OL'],['50'],"['70', '40']",['20']
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,C.HS_batch_conf,['NH'],['NH'],['NH'],['60'],['60'],['60']
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,C.OL_batch_conf,['OL'],['OL'],['OL'],['95'],['80'],['80']
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,A_batch_conf,"['OL', 'HS']","['OL', 'NH']","['OL', 'NH']","['100', '100']","['90', '70']","['70', '20']"
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,B_batch_conf,"['NH', 'OL']",['OL'],['OL'],"['40', '60']",['0'],['90']
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,C.HS_batch_conf,['NH'],['NL'],['NH'],['50'],['60'],['50']
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,C.OL_batch_conf,['OL'],['OL'],['OL'],['98'],['100'],['100']
187,4,6,@###### @###### fight me you fucking obese niglet,A_batch_conf,"['OL', 'HS']","['OL', 'HS']",[],"['80', '90']","['90', '80']",[]
187,4,6,@###### @###### fight me you fucking obese niglet,B_batch_conf,['HS'],['HS'],"['HS', 'OL']",['90'],['70'],"['90', '0']"
187,4,6,@###### @###### fight me you fucking obese niglet,C.HS_batch_conf,[],[],['HS'],[],[],['80']
187,4,6,@###### @###### fight me you fucking obese niglet,C.OL_batch_conf,[],['OL'],[],[],['80'],[]
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,A_batch_conf,"['OL', 'HS']","['OL', 'NO']","['NO', 'HS']","['90', '80']","['20', '80']","['30', '20']"
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,B_batch_conf,['HS'],['HS'],['HS'],['80'],['80'],['90']
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,C.HS_batch_conf,['NH'],['NH'],['NH'],['80'],['60'],['70']
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,C.OL_batch_conf,['NO'],['OL'],['NO'],['0'],['70'],['0']
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,A_batch_conf,"['OL', 'HS']","['OL', 'NH']","['OL', 'NH']","['70', '60']","['30', '10']","['100', '70']"
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,B_batch_conf,['NH'],"['HS', 'OL']",['HS'],['60'],"['80', '40']",['80']
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,C.HS_batch_conf,['NH'],['HS'],['NH'],['80'],['30'],['20']
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,C.OL_batch_conf,['NO'],['NO'],['OL'],['0'],['20'],['90']
423,3,9,@###### @###### trash,A_batch_conf,"['OL', 'NH']",['OL'],"['OL', 'HS']","['80', '60']",['80'],"['80', '100']"
423,3,9,@###### @###### trash,B_batch_conf,"['HS', 'OL']","['NO', 'OL']",['NO'],"['100', '0']","['40', '40']",['30']
423,3,9,@###### @###### trash,C.HS_batch_conf,['NH'],['NH'],['NH'],['40'],['5'],['70']
423,3,9,@###### @###### trash,C.OL_batch_conf,['OL'],['NO'],['OL'],['80'],['80'],['90']
381,4,10,@###### I hate that nigger.,A_batch_conf,"['HS', 'OL']","['OL', 'HS']","['HS', 'NO']","['60', '70']","['40', '90']","['100', '30']"
381,4,10,@###### I hate that nigger.,B_batch_conf,['OL'],['HS'],['OL'],['60'],['0'],['60']
381,4,10,@###### I hate that nigger.,C.HS_batch_conf,['HS'],['HS'],['HS'],['100'],['100'],['100']
381,4,10,@###### I hate that nigger.,C.OL_batch_conf,['OL'],['OL'],['NO'],['100'],['100'],['0']
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,A_batch_conf,"['NO', 'NH']","['NO', 'NH']","['NO', 'NH']","['0', '50']","['40', '80']",['100']
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,B_batch_conf,"['OL', 'NH']",['NH'],['NH'],"['100', '70']",['80'],['0']
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,C.HS_batch_conf,['NH'],['NH'],['NH'],['60'],['80'],['60']
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,C.OL_batch_conf,['NO'],['NO'],['NO'],['0'],['20'],['0']
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",A_batch_conf,"['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['100', '80']","['80', '60']","['80', '80']"
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",B_batch_conf,['OL'],['OL'],['HS'],['50'],['90'],['80']
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",C.HS_batch_conf,['NH'],['HS'],['HS'],['80'],['90'],['98']
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",C.OL_batch_conf,['OL'],['NO'],['NO'],['100'],['0'],['70']
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,A_batch_conf,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '90']","['20', '60']","['20', '80']"
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,B_batch_conf,"['NH', 'OL']",['HS'],['OL'],"['20', '20']",['90'],['80']
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,C.HS_batch_conf,['NH'],['NH'],['NH'],['60'],['90'],['80']
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,C.OL_batch_conf,['NO'],['NO'],['NO'],['60'],['0'],['0']
382,6,14,@###### dude was a bitch nigga and took off running,A_batch_conf,"['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['40', '80']","['80', '70']","['80', '60']"
382,6,14,@###### dude was a bitch nigga and took off running,B_batch_conf,"['NH', 'OL']",['OL'],['OL'],"['0', '80']",['20'],['40']
382,6,14,@###### dude was a bitch nigga and took off running,C.HS_batch_conf,['HS'],['HS'],['HS'],['95'],['85'],['90']
382,6,14,@###### dude was a bitch nigga and took off running,C.OL_batch_conf,[],['OL'],['OL'],[],['90'],['100']
99,1,15,@###### brooooo I miss you bitch,A_batch_conf,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['80', '80']","['90', '20']","['70', '50']"
99,1,15,@###### brooooo I miss you bitch,B_batch_conf,['NH'],['NH'],['NH'],['80'],['20'],['90']
99,1,15,@###### brooooo I miss you bitch,C.HS_batch_conf,['NH'],['NH'],['NH'],['70'],['70'],['70']
99,1,15,@###### brooooo I miss you bitch,C.OL_batch_conf,['OL'],['OL'],['OL'],['85'],['85'],['80']
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,A_batch_conf,"['NO', 'NO']","['OL', 'NH']","['OL', 'NH']","['10', '90']","['0', '0']","['20', '0']"
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,B_batch_conf,['OL'],['OL'],"['NH', 'OL']",['30'],['50'],"['60', '0']"
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,C.HS_batch_conf,[],['NH'],['NH'],[],['80'],['70']
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,C.OL_batch_conf,['NO'],['NO'],[],['100'],['100'],[]
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",A_batch_conf,"['OL', 'HS']","['OL', 'NH']","['OL', 'HS']","['90', '50']","['60', '80']","['100', '100']"
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",B_batch_conf,['OL'],['OL'],['NH'],['100'],['70'],['80']
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",C.HS_batch_conf,['NH'],['NH'],['NH'],['60'],['80'],['65']
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",C.OL_batch_conf,['OL'],['NO'],['NO'],['85'],['0'],['10']
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,A_batch_conf,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['100', '0']","['80', '50']","['80', '80']"
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,B_batch_conf,"['NH', 'NO']",['NH'],['NH'],"['0', '100']",['20'],['60']
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,C.HS_batch_conf,['NH'],['NH'],['NH'],['70'],['30'],['20']
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,C.OL_batch_conf,['OL'],"['I', 'cannot', 'provide', 'a', 'list', 'that', 'contains', 'hate', 'speech', 'Is', 'there', 'anything', 'else', 'I', 'can', 'help', 'you', 'with']",['OL'],['80'],[],['70']
270,1,19,@###### whats your youtube channel then faggot,A_batch_conf,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['100', '20']","['100', '90']","['80', '80']"
270,1,19,@###### whats your youtube channel then faggot,B_batch_conf,['HS'],"['NH', 'OL']",['NH'],['100'],"['60', '0']",['60']
270,1,19,@###### whats your youtube channel then faggot,C.HS_batch_conf,['NH'],['NH'],['NH'],['30'],['50'],['20']
270,1,19,@###### whats your youtube channel then faggot,C.OL_batch_conf,['OL'],['OL'],['OL'],['70'],['100'],['100']
372,6,20,Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.,A_batch_conf,"['NO', 'NH']","['NH', 'NH']","['NO', 'NH']","['0', '100']","['90', '90']","['100', '100']"
372,6,20,Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.,B_batch_conf,"['NH', 'NO']",['OL'],"['NH', 'OL']","['100', '0']",['0'],"['80', '0']"
372,6,20,Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.,C.HS_batch_conf,['NH'],['NH'],['NH'],['80'],['95'],['100']
372,6,20,Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.,C.OL_batch_conf,['NO'],['NO'],['NO'],['100'],['0'],['80']
499,4,21,"You ever randomly woke up and ya bitch standing over you, just staring.",A_batch_conf,"['NO', 'NH']","['OL', 'NH']","['OL', 'NH']","['20', '70']","['80', '80']","['90', '30']"
499,4,21,"You ever randomly woke up and ya bitch standing over you, just staring.",B_batch_conf,"['NH', 'OL']","['HS', 'OL']","['OL', 'NH']","['50', '80']","['90', '90']","['95', '85']"
499,4,21,"You ever randomly woke up and ya bitch standing over you, just staring.",C.HS_batch_conf,['NH'],['NH'],['NH'],['40'],['50'],['50']
499,4,21,"You ever randomly woke up and ya bitch standing over you, just staring.",C.OL_batch_conf,[],['NO'],['NO'],[],['80'],['95']
69,6,22,RT @###### First day of spring break: ate half a pan of brownies &amp; watched 6 episodes of Parks and Rec with @###### &amp; @######,A_batch_conf,"['NH', 'NH']","['NO', 'NH']","['NH', 'NH']","['20', '100']",['80'],"['0', '20']"
