batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_Token1,R1_Token2,R1_Token3,R2_Token1,R2_Token2,R2_Token3,R3_Token1,R3_Token2,R3_Token3
1,1,811,Fat fucking funky nasty ass hoes,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL    -1.936126e-07
 OL   -1.575000e+01
AL    -1.887500e+01
OW    -1.937500e+01
UL    -2.075000e+01
dtype: float64",",     0.00 
;    -23.00
 ,   -23.75
:    -24.25
，    -24.75
dtype: float64"," NH   -0.000002 
 NO   -13.250002
NH    -18.000002
 NS   -20.750002
 N    -21.000002
dtype: float64","OL    -1.936126e-07
 OL   -1.587500e+01
AL    -1.900000e+01
OW    -1.950000e+01
UL    -2.100000e+01
dtype: float64",",     0.000 
;    -23.125
 ,   -24.000
:    -24.375
，    -25.000
dtype: float64"," NH   -5.512236e-07
 NO   -1.450000e+01
NH    -1.825000e+01
 NM   -2.100000e+01
 NS   -2.137500e+01
dtype: float64","OL    -1.936126e-07
 OL   -1.575000e+01
AL    -1.862500e+01
OW    -1.925000e+01
UL    -2.050000e+01
dtype: float64",",     0.000 
;    -23.125
 ,   -24.125
:    -24.500
，    -25.000
dtype: float64"," NH   -9.088346e-07
 NO   -1.400000e+01
NH    -1.825000e+01
 NS   -2.125000e+01
 NM   -2.125000e+01
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,B,"HS, OL","NH, OL","NH, OL","HS, OL","NH, OL","NH, OL","NH   -0.078904 
HS   -2.578904 
HN   -12.203903
HH   -12.828903
H    -12.828903
dtype: float64",",       0.000 
 ,     -21.000
 and   -22.125
;      -23.125
:      -23.500
dtype: float64"," OL    0.000 
OL    -19.250
 HL   -21.625
 AL   -23.750
 OH   -24.250
dtype: float64","NH    -0.000263 
HS    -8.250263 
 NH   -14.375263
HN    -14.750263
HH    -15.125263
dtype: float64",",     0.000 
;    -22.500
 ,   -23.625
，    -24.625
،    -24.625
dtype: float64"," OL    0.00 
 HS   -19.00
 HL   -19.75
OL    -20.25
 O    -24.00
dtype: float64","NH   -0.061977 
HS   -2.811977 
HN   -12.561976
HH   -13.186976
H    -13.436976
dtype: float64",",     0.000 
;    -22.875
 ,   -24.000
，    -24.875
،    -25.125
dtype: float64"," OL    0.000 
 HL   -17.250
 HS   -17.750
OL    -19.500
 O    -23.375
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,C.HS,HS,HS,HS,HS,HS,HS,"HS      -0.001507 
NH      -6.501507 
Label   -12.876507
NS      -14.001507
 HS     -14.876507
dtype: float64",",     0.000 
;    -22.875
 ,   -24.000
，    -24.875
،    -25.125
dtype: float64",,"HS      -0.001507 
NH      -6.501507 
Label   -12.876507
NS      -14.001507
 HS     -14.876507
dtype: float64",",     0.000 
;    -22.875
 ,   -24.000
，    -24.875
،    -25.125
dtype: float64",,"HS      -0.001931 
NH      -6.251931 
Label   -13.876931
NS      -14.126931
 HS     -15.126931
dtype: float64",",     0.000 
;    -22.875
 ,   -24.000
，    -24.875
،    -25.125
dtype: float64",
1,1,811,Fat fucking funky nasty ass hoes,C.OL,OL,OL,OL,OL,OL,OL,"OL      -1.936126e-07
 OL     -1.662500e+01
NO      -1.675000e+01
AL      -1.912500e+01
Label   -1.925000e+01
dtype: float64",",     0.000 
;    -22.875
 ,   -24.000
，    -24.875
،    -25.125
dtype: float64",,"OL     0.000 
 OL   -17.125
NO    -18.000
AL    -19.375
Ol    -19.875
dtype: float64",",     0.000 
;    -22.875
 ,   -24.000
，    -24.875
،    -25.125
dtype: float64",,"OL     0.000 
 OL   -16.875
NO    -19.500
AL    -19.750
UL    -20.750
dtype: float64",",     0.000 
;    -22.875
 ,   -24.000
，    -24.875
،    -25.125
dtype: float64",
1,2,742,Up early then a bitch driving to denton omg can I move already,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL    -1.936126e-07
 OL   -1.587500e+01
AL    -1.875000e+01
The   -2.000000e+01
OW    -2.012500e+01
dtype: float64",",     0.000 
:    -24.125
;    -24.250
,N   -24.375
 ,   -25.250
dtype: float64"," NH   -0.000002 
 NO   -13.250002
NH    -18.125002
 NM   -20.000002
 N    -20.500002
dtype: float64","OL    -1.936126e-07
 OL   -1.612500e+01
AL    -1.875000e+01
OW    -2.037500e+01
UL    -2.050000e+01
dtype: float64",",     0.000 
:    -23.875
;    -24.375
,N   -24.625
 ,   -25.125
dtype: float64"," NH   -0.000002 
 NO   -13.250002
NH    -18.125002
 NM   -20.250002
 N    -20.875002
dtype: float64","OL    -1.936126e-07
 OL   -1.612500e+01
AL    -1.875000e+01
OW    -2.037500e+01
UL    -2.050000e+01
dtype: float64",",     0.000 
:    -23.125
;    -23.750
,N   -24.375
 ,   -24.875
dtype: float64"," NH   -0.000002 
 NO   -13.250002
NH    -18.125002
 NM   -19.875002
 N    -20.500002
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH    -4.320200e-07
 NH   -1.487500e+01
HS    -1.712500e+01
Nh    -1.950000e+01
NS    -2.025000e+01
dtype: float64",",     0.000 
;    -23.500
 ,   -23.875
，    -25.250
،    -25.375
dtype: float64"," OL    0.0 
OL    -20.0
 O    -24.5
 ol   -26.0
 AL   -27.5
dtype: float64","NH    -4.320200e-07
 NH   -1.487500e+01
HS    -1.700000e+01
Nh    -1.937500e+01
NS    -2.012500e+01
dtype: float64",",     0.00 
;    -23.75
 ,   -24.00
،    -25.25
，    -25.25
dtype: float64"," OL    0.000 
OL    -20.000
 O    -25.000
 ol   -26.125
 Ol   -27.250
dtype: float64","NH    -4.320200e-07
 NH   -1.487500e+01
HS    -1.712500e+01
Nh    -1.950000e+01
NS    -2.025000e+01
dtype: float64",",     0.000 
;    -23.500
 ,   -23.875
，    -25.250
،    -25.375
dtype: float64"," OL    0.000 
OL    -20.000
 O    -24.500
 ol   -26.000
 Ol   -27.375
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,C.HS,NH,NH,NH,NH,NH,NH,"NH      -0.000009 
Label   -11.750009
 NH     -14.250009
The     -15.750009
NL      -17.250010
dtype: float64",",     0.000 
;    -23.500
 ,   -23.875
，    -25.250
،    -25.375
dtype: float64",,"NH      -0.000004 
Label   -12.500005
 NH     -14.500005
The     -16.875004
NL      -17.625004
dtype: float64",",     0.000 
;    -23.500
 ,   -23.875
，    -25.250
،    -25.375
dtype: float64",,"NH      -0.000009 
Label   -11.750009
 NH     -14.250009
The     -15.750009
NL      -17.250010
dtype: float64",",     0.000 
;    -23.500
 ,   -23.875
，    -25.250
،    -25.375
dtype: float64",
1,2,742,Up early then a bitch driving to denton omg can I move already,C.OL,OL,OL,OL,OL,OL,OL,"OL      -1.936126e-07
NO      -1.675000e+01
 OL     -1.712500e+01
Label   -1.750000e+01
The     -1.812500e+01
dtype: float64",",     0.000 
;    -23.500
 ,   -23.875
，    -25.250
،    -25.375
dtype: float64",,"OL      -1.936126e-07
 OL     -1.725000e+01
NO      -1.762500e+01
The     -1.862500e+01
Label   -1.862500e+01
dtype: float64",",     0.000 
;    -23.500
 ,   -23.875
，    -25.250
،    -25.375
dtype: float64",,"OL      -1.936126e-07
NO      -1.662500e+01
 OL     -1.712500e+01
Label   -1.737500e+01
The     -1.837500e+01
dtype: float64",",     0.000 
;    -23.500
 ,   -23.875
，    -25.250
،    -25.375
dtype: float64",
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO    -0.000008 
NH    -11.750009
No    -15.875009
 NO   -16.125008
N     -16.875008
dtype: float64",",     0.000 
 ,   -21.625
,N   -22.500
，    -24.375
;    -24.750
dtype: float64"," NH   -0.000553 
 NO   -7.500553 
 N    -18.125553
NH    -18.875553
 NM   -19.250553
dtype: float64","NO    -0.000011 
NH    -11.500010
No    -15.750010
 NO   -16.000011
N     -16.500011
dtype: float64",",     0.000 
 ,   -22.125
,N   -22.875
，    -24.875
;    -25.000
dtype: float64"," NH   -0.000431 
 NO   -7.750431 
 N    -18.250431
NH    -19.500431
 NM   -20.375431
dtype: float64","NO    -0.000008 
NH    -11.750009
No    -15.875009
 NO   -16.125008
N     -16.875008
dtype: float64",",     0.000 
 ,   -22.875
,N   -22.875
，    -25.250
;    -25.250
dtype: float64"," NH   -0.00071 
 NO   -7.25071 
 N    -18.25071
NH    -18.75071
 NM   -19.37571
dtype: float64"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH    -1.936126e-07
 NH   -1.575000e+01
NO    -1.812500e+01
Nh    -2.012500e+01
N     -2.050000e+01
dtype: float64",",     0.000 
,N   -22.750
 ,   -23.125
;    -23.375
，    -24.625
dtype: float64"," NO   -0.029751 
 NH   -3.529751 
 N    -16.529751
NO    -17.029751
 NE   -18.904751
dtype: float64","NH    -1.936126e-07
 NH   -1.575000e+01
NO    -1.837500e+01
Nh    -2.025000e+01
N     -2.062500e+01
dtype: float64",",     0.000 
,N   -22.250
 ,   -23.125
;    -23.875
，    -24.750
dtype: float64"," NO   -0.014164 
 NH   -4.264163 
NO    -16.514164
 N    -17.264164
 No   -18.889164
dtype: float64","NH    -1.936126e-07
 NH   -1.575000e+01
NO    -1.837500e+01
Nh    -2.025000e+01
N     -2.062500e+01
dtype: float64",",     0.000 
 ,   -23.125
,N   -23.500
;    -24.125
،    -25.750
dtype: float64"," NO   -0.038042 
 NH   -3.288042 
 N    -16.288042
NO    -17.038042
 NE   -18.788042
dtype: float64"
