batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label
1,1,811,Fat fucking funky nasty ass hoes,A,"OL, NH","OL, NH","OL, HS","OL, NH","OL, NH","OL, HS"
1,1,811,Fat fucking funky nasty ass hoes,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
1,1,811,Fat fucking funky nasty ass hoes,C.HS,HS,HS,NH,HS,HS,NH
1,1,811,Fat fucking funky nasty ass hoes,C.OL,OL,OL,OL,OL,OL,OL
1,2,742,Up early then a bitch driving to denton omg can I move already,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
1,2,742,Up early then a bitch driving to denton omg can I move already,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
1,2,742,Up early then a bitch driving to denton omg can I move already,C.HS,NH,NH,NH,NH,NH,NH
1,2,742,Up early then a bitch driving to denton omg can I move already,C.OL,OL,OL,OL,OL,OL,OL
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,C.HS,NH,NH,NH,NH,NH,NH
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,C.OL,NO,NO,NO,NO,NO,NO
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,C.HS,HS,HS,HS,HS,HS,HS
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,C.OL,OL,OL,OL,OL,OL,OL
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,C.HS,NH,NH,NH,NH,NH,NH
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,C.OL,OL,OL,OL,OL,OL,OL
1,6,2528,Fuck that shit I'm out this bitch,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
