batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_Token1,R1_Token2,R1_Token3,R2_Token1,R2_Token2,R2_Token3,R3_Token1,R3_Token2,R3_Token3
1,1,811,Fat fucking funky nasty ass hoes,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL     0.000 
 OL   -16.875
AL    -19.500
OW    -21.250
UL    -21.375
dtype: float64",",     0.000 
;    -24.125
 ,   -25.000
，    -25.250
:    -26.000
dtype: float64"," NH   -0.000045 
 NO   -10.000046
 NS   -17.750046
 HS   -18.000046
 N    -18.750046
dtype: float64","OL     0.000 
 OL   -16.875
AL    -19.375
OW    -20.875
UL    -21.250
dtype: float64",",     0.000 
 ,   -24.000
;    -24.250
，    -24.750
:    -26.125
dtype: float64"," NH   -0.000058 
 NO   -9.750058 
 NS   -17.750059
 HS   -18.125059
 N    -18.750059
dtype: float64","OL     0.000 
 OL   -17.375
AL    -19.875
OW    -21.125
UL    -21.500
dtype: float64",",     0.000 
;    -23.625
 ,   -24.125
，    -24.875
:    -25.000
dtype: float64"," NH   -0.000083 
 NO   -9.500083 
 HS   -11.750083
 NS   -15.250083
 N    -17.125084
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS   -0.023262 
NH   -3.773262 
H    -11.898262
HH   -12.523262
HN   -12.523262
dtype: float64",",       0.000 
 ,     -21.625
 and   -24.000
;      -24.125
:      -24.500
dtype: float64"," OL    0.000 
OL    -20.000
 HL   -20.250
 O    -24.125
 OH   -24.500
dtype: float64","HS   -0.023262 
NH   -3.773262 
H    -11.898262
HH   -12.523262
HN   -12.523262
dtype: float64",",       0.000 
 ,     -21.625
 and   -24.000
;      -24.125
:      -24.500
dtype: float64"," OL    0.00 
OL    -20.00
 HL   -20.25
 O    -24.00
 OH   -24.50
dtype: float64","HS   -0.006722 
NH   -5.006722 
H    -12.631722
HN   -13.631722
HH   -14.006722
dtype: float64",",       0.000 
 ,     -21.625
;      -24.000
 and   -24.000
:      -24.500
dtype: float64"," OL    0.000 
OL    -20.000
 HL   -20.250
 O    -24.125
 OH   -24.625
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,C.HS,HS,HS,HS,HS,HS,HS,"HS    -0.000002 
NH    -13.000002
 HS   -17.000002
HF    -18.625002
HH    -19.000002
dtype: float64",",       0.000 
 ,     -21.625
;      -24.000
 and   -24.000
:      -24.500
dtype: float64",,"HS    -0.000008 
NH    -11.750008
 HS   -17.000008
HF    -18.125008
HH    -18.750008
dtype: float64",",       0.000 
 ,     -21.625
;      -24.000
 and   -24.000
:      -24.500
dtype: float64",,"HS    -0.000002 
NH    -13.000002
 HS   -17.000002
HF    -18.625002
HH    -19.000002
dtype: float64",",       0.000 
 ,     -21.625
;      -24.000
 and   -24.000
:      -24.500
dtype: float64",
1,1,811,Fat fucking funky nasty ass hoes,C.OL,OL,OL,OL,OL,OL,OL,"OL     0.000 
 OL   -17.750
NO    -18.625
AL    -19.875
OW    -21.375
dtype: float64",",       0.000 
 ,     -21.625
;      -24.000
 and   -24.000
:      -24.500
dtype: float64",,"OL     0.000 
 OL   -17.750
NO    -18.375
AL    -20.000
OW    -21.250
dtype: float64",",       0.000 
 ,     -21.625
;      -24.000
 and   -24.000
:      -24.500
dtype: float64",,"OL     0.000 
 OL   -17.750
NO    -18.625
AL    -19.875
OW    -21.375
dtype: float64",",       0.000 
 ,     -21.625
;      -24.000
 and   -24.000
:      -24.500
dtype: float64",
1,2,742,Up early then a bitch driving to denton omg can I move already,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL    -1.936126e-07
 OL   -1.662500e+01
AL    -1.962500e+01
OW    -2.100000e+01
UL    -2.125000e+01
dtype: float64",",     0.000 
:    -23.375
,N   -24.500
;    -24.625
 ,   -25.500
dtype: float64"," NH   -0.000002 
 NO   -13.250002
NH    -18.500002
 NM   -19.500002
 N    -20.875002
dtype: float64","OL    -1.936126e-07
 OL   -1.625000e+01
AL    -1.937500e+01
OW    -2.050000e+01
The   -2.112500e+01
dtype: float64",",     0.000 
:    -24.375
,N   -24.375
;    -24.625
 ,   -25.250
dtype: float64"," NH   -0.000002 
 NO   -13.500002
NH    -18.500002
 NM   -19.750002
 N    -21.000002
dtype: float64","OL    -1.936126e-07
 OL   -1.650000e+01
AL    -1.950000e+01
OW    -2.075000e+01
UL    -2.112500e+01
dtype: float64",",     0.000 
:    -23.625
,N   -24.500
;    -24.625
 ,   -25.375
dtype: float64"," NH   -0.000002 
 NO   -13.250002
NH    -18.625002
 NM   -19.500002
 N    -21.250002
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH    -1.936126e-07
 NH   -1.575000e+01
Nh    -1.937500e+01
HS    -1.962500e+01
nh    -2.075000e+01
dtype: float64",",     0.000 
;    -23.250
 ,   -23.250
，    -24.625
,N   -24.875
dtype: float64"," OL    0.00 
OL    -20.75
 O    -22.75
 ol   -25.50
 NL   -26.00
dtype: float64","NH    -3.128163e-07
 NH   -1.512500e+01
HS    -1.900000e+01
Nh    -2.000000e+01
NS    -2.037500e+01
dtype: float64",",     0.000 
;    -23.750
 ,   -23.875
，    -25.000
,N   -25.375
dtype: float64"," OL    0.00 
OL    -20.50
 O    -22.75
 ol   -25.75
 NL   -26.25
dtype: float64","NH    -1.936126e-07
 NH   -1.575000e+01
Nh    -1.937500e+01
HS    -1.962500e+01
nh    -2.075000e+01
dtype: float64",",     0.000 
 ,   -23.250
;    -23.375
，    -24.500
,N   -24.750
dtype: float64"," OL    0.000 
OL    -20.500
 O    -22.750
 ol   -25.750
 NL   -26.375
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,C.HS,NH,NH,NH,NH,NH,NH,"NH    -4.320200e-07
 NH   -1.487500e+01
NM    -1.837500e+01
Nh    -1.937500e+01
NF    -1.937500e+01
dtype: float64",",     0.000 
 ,   -23.250
;    -23.375
，    -24.500
,N   -24.750
dtype: float64",,"NH    -4.320200e-07
 NH   -1.475000e+01
NM    -1.825000e+01
NL    -1.925000e+01
Nh    -1.925000e+01
dtype: float64",",     0.000 
 ,   -23.250
;    -23.375
，    -24.500
,N   -24.750
dtype: float64",,"NH    -4.320200e-07
 NH   -1.475000e+01
NM    -1.825000e+01
NL    -1.925000e+01
Nh    -1.925000e+01
dtype: float64",",     0.000 
 ,   -23.250
;    -23.375
，    -24.500
,N   -24.750
dtype: float64",
1,2,742,Up early then a bitch driving to denton omg can I move already,C.OL,OL,OL,OL,OL,OL,OL,"OL    -6.704273e-07
NO    -1.437500e+01
 OL   -1.762500e+01
AL    -1.937500e+01
The   -2.025000e+01
dtype: float64",",     0.000 
 ,   -23.250
;    -23.375
，    -24.500
,N   -24.750
dtype: float64",,"OL     0.000 
NO    -17.375
 OL   -18.250
AL    -20.000
OW    -21.250
dtype: float64",",     0.000 
 ,   -23.250
;    -23.375
，    -24.500
,N   -24.750
dtype: float64",,"OL     0.000 
NO    -17.375
 OL   -18.250
AL    -20.000
OW    -21.250
dtype: float64",",     0.000 
 ,   -23.250
;    -23.375
，    -24.500
,N   -24.750
dtype: float64",
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO    -0.000007 
NH    -11.875007
 NO   -16.250008
No    -17.000008
N     -17.750008
dtype: float64",",     0.000 
 ,   -23.250
,N   -23.500
;    -25.875
，    -26.250
dtype: float64"," NH   -0.00001 
 NO   -11.50001
NH    -19.12501
 N    -20.00001
 NM   -21.00001
dtype: float64","NO    -0.000003 
NH    -12.875003
 NO   -16.375002
No    -17.500002
N     -18.125002
dtype: float64",",     0.00 
 ,   -22.00
,N   -22.25
;    -24.50
，    -24.50
dtype: float64"," NH   -0.000045 
 NO   -10.000046
NH    -18.875046
 N    -19.750046
 NM   -20.500046
dtype: float64","NO    -0.000007 
NH    -11.875007
 NO   -16.250008
No    -17.000008
N     -17.750008
dtype: float64",",     0.000 
 ,   -23.125
,N   -23.375
;    -25.625
，    -26.250
dtype: float64"," NH   -0.000045 
 NO   -10.000046
NH    -19.000046
 N    -19.750046
 NM   -20.375046
dtype: float64"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH    -3.128163e-07
 NH   -1.537500e+01
NO    -1.800000e+01
Nh    -1.950000e+01
N     -2.062500e+01
dtype: float64",",     0.000 
,N   -22.500
 ,   -23.375
;    -23.750
，    -25.125
dtype: float64"," NO   -0.000912 
 NH   -7.000912 
NO    -17.000912
 N    -17.500912
 No   -19.625912
dtype: float64","NH    -3.128163e-07
 NH   -1.537500e+01
NO    -1.800000e+01
Nh    -1.950000e+01
N     -2.062500e+01
dtype: float64",",     0.000 
,N   -22.625
 ,   -23.250
;    -23.750
，    -25.125
dtype: float64"," NO   -0.001502 
 NH   -6.501503 
NO    -16.751503
 N    -17.251503
 No   -19.376503
dtype: float64","NH    -3.128163e-07
 NH   -1.537500e+01
NO    -1.800000e+01
Nh    -1.950000e+01
N     -2.062500e+01
dtype: float64",",     0.000 
,N   -22.625
 ,   -23.250
;    -23.750
，    -25.125
dtype: float64"," NO   -0.001502 
 NH   -6.501503 
NO    -16.751503
 N    -17.251503
 No   -19.376503
dtype: float64"
