batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_score,R2_score,R3_score
3,5,1,@###### bro that hoe live,A_conf,"OL100, NH60","OL100, NH80","OL80, NH40","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['100', '60']","['100', '80']","['80', '40']"
3,5,1,@###### bro that hoe live,B_conf,"HS100, OL100","NH20, OL80","NH30, OL70","['HS', 'OL']","['NH', 'OL']","['NH', 'OL']","['100', '100']","['20', '80']","['30', '70']"
3,5,1,@###### bro that hoe live,C.HS_conf,NH65,NH60,NH60,['NH'],['NH'],['NH'],['65'],['60'],['60']
3,5,1,@###### bro that hoe live,C.OL_conf,OL99,OL100,OL90,['OL'],['OL'],['OL'],['99'],['100'],['90']
25,1,2,"Stop using the word ""redskin(s)"".",A_conf,"OL60, NH90","OL60, NH90","OL50, NH90","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['60', '90']","['60', '90']","['50', '90']"
25,1,2,"Stop using the word ""redskin(s)"".",B_conf,"NH100, OL100","NH100, NO100","NH90, OL10","['NH', 'OL']","['NH', 'NO']","['NH', 'OL']","['100', '100']","['100', '100']","['90', '10']"
25,1,2,"Stop using the word ""redskin(s)"".",C.HS_conf,NH95,NH100,NH95,['NH'],['NH'],['NH'],['95'],['100'],['95']
25,1,2,"Stop using the word ""redskin(s)"".",C.OL_conf,OL100,OL95,NO99,['OL'],['OL'],['NO'],['100'],['95'],['99']
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,A_conf,"OL80, NH60","OL100, NH0","OL100, NH90","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['80', '60']","['100', '0']","['100', '90']"
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,B_conf,"NH20, OL80","NH80, OL80","NH0, OL100","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['20', '80']","['80', '80']","['0', '100']"
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,C.HS_conf,NH92,NH85,NH75,['NH'],['NH'],['NH'],['92'],['85'],['75']
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,C.OL_conf,OL100,OL100,OL100,['OL'],['OL'],['OL'],['100'],['100'],['100']
