batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_score,R2_score,R3_score
3,5,1,@###### bro that hoe live,A_conf,"OL90, NH85","OL90, NH85","OL90, NH85","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '85']","['90', '85']","['90', '85']"
3,5,1,@###### bro that hoe live,B_conf,"NH90, OL100","NH90, OL100","NH90, OL100","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '100']","['90', '100']","['90', '100']"
3,5,1,@###### bro that hoe live,C.HS_conf,NH90,NH70,NH70,['NH'],['NH'],['NH'],['90'],['70'],['70']
3,5,1,@###### bro that hoe live,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
25,1,2,"Stop using the word ""redskin(s)"".",A_conf,"OL90, NH95","OL90, NH95","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['90', '95']","['90', '95']"
25,1,2,"Stop using the word ""redskin(s)"".",B_conf,"NH90, OL95","NH90, OL100","NH90, OL95","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '95']","['90', '100']","['90', '95']"
25,1,2,"Stop using the word ""redskin(s)"".",C.HS_conf,NH95,NH95,NH90,['NH'],['NH'],['NH'],['95'],['95'],['90']
25,1,2,"Stop using the word ""redskin(s)"".",C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,A_conf,"OL100, NH90","OL90, NH95","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['100', '90']","['90', '95']","['90', '95']"
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,B_conf,"NH90, OL95","NH90, OL100","NH90, OL100","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '95']","['90', '100']","['90', '100']"
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,C.HS_conf,NH90,NH70,NH90,['NH'],['NH'],['NH'],['90'],['70'],['90']
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,A_conf,"OL90, NH95","OL90, NH95","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['90', '95']","['90', '95']"
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,B_conf,"NH90, OL95","NH90, OL95","NH90, OL95","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '95']","['90', '95']","['90', '95']"
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,C.HS_conf,NH90,NH90,NH90,['NH'],['NH'],['NH'],['90'],['90'],['90']
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,A_conf,"OL95, NH70","OL95, NH90","OL95, NH90","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['95', '70']","['95', '90']","['95', '90']"
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,B_conf,"NH90, OL100","NH90, OL100","NH70, OL95","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '100']","['90', '100']","['70', '95']"
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
187,4,6,@###### @###### fight me you fucking obese niglet,A_conf,"OL100, HS90","OL100, HS90","OL100, HS90","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['100', '90']","['100', '90']","['100', '90']"
