batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_Token1,R1_Token2,R1_Token3,R2_Token1,R2_Token2,R2_Token3,R3_Token1,R3_Token2,R3_Token3
1,1,811,Fat fucking funky nasty ass hoes,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL     0.000 
Ol    -17.250
OH    -17.500
OLF   -20.125
HS    -20.250
dtype: float64",",     -1.936126e-07
,N    -1.600000e+01
.     -2.037500e+01
،     -2.100000e+01
 NH   -2.112500e+01
dtype: float64"," NH     0.00 
NH     -23.25
 N     -25.25
 NHS   -25.50
 NV    -27.25
dtype: float64","OL    0.000 
OH   -17.250
Ol   -17.500
ОЛ   -20.375
HS   -20.500
dtype: float64",",     -3.128163e-07
,N    -1.550000e+01
.     -2.075000e+01
 NH   -2.100000e+01
 ,    -2.150000e+01
dtype: float64"," NH     0.00 
NH     -23.75
 N     -24.75
 NHS   -25.75
 nh    -26.00
dtype: float64","OL     0.000 
Ol    -19.250
OH    -19.250
O     -22.000
OLF   -22.125
dtype: float64",",     -3.128163e-07
,N    -1.550000e+01
.     -2.100000e+01
/N    -2.125000e+01
 NH   -2.162500e+01
dtype: float64"," NH     0.00 
NH     -24.25
 N     -26.25
 NHS   -27.50
 nh    -28.00
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH    0.00 
HS   -19.00
nh   -20.50
N    -20.75
Nh   -23.00
dtype: float64",",      0.000 
.     -21.625
 OL   -22.375
،     -22.625
 ,    -22.875
dtype: float64"," OL    0.0 
OL    -22.0
 O    -25.0
 OH   -26.0
 OW   -27.5
dtype: float64","NH    0.000 
HS   -18.250
nh   -18.500
N    -20.625
Nh   -20.875
dtype: float64",",      0.000 
 OL   -21.125
.     -21.500
،     -21.875
 ,    -23.250
dtype: float64"," OL    0.00 
OL    -22.50
 O    -25.50
 OH   -26.50
 OW   -28.75
dtype: float64","NH     0.000 
HS    -18.750
nh    -20.375
N     -21.000
 NH   -21.625
dtype: float64",",      0.000 
.     -21.125
 OL   -21.500
 ,    -22.375
،     -22.500
dtype: float64"," OL    0.00 
OL    -20.50
 O    -24.50
 OH   -25.75
 OW   -27.75
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,C.HS,NH,NH,NH,NH,NH,NH,"NH    0.000 
N    -21.500
nh   -23.125
HS   -23.375
Nh   -23.625
dtype: float64",",      0.000 
.     -21.125
 OL   -21.500
 ,    -22.375
،     -22.500
dtype: float64",,"NH    0.000 
N    -19.500
HS   -22.000
Nh   -23.500
MH   -23.625
dtype: float64",",      0.000 
.     -21.125
 OL   -21.500
 ,    -22.375
،     -22.500
dtype: float64",,"NH    0.000 
N    -21.500
nh   -23.125
HS   -23.375
Nh   -23.625
dtype: float64",",      0.000 
.     -21.125
 OL   -21.500
 ,    -22.375
،     -22.500
dtype: float64",
1,1,811,Fat fucking funky nasty ass hoes,C.OL,OL,OL,OL,OL,OL,OL,"OL    0.000 
Ol   -17.250
O    -21.000
ОЛ   -21.000
UL   -21.125
dtype: float64",",      0.000 
.     -21.125
 OL   -21.500
 ,    -22.375
،     -22.500
dtype: float64",,"OL    0.000 
Ol   -17.250
O    -21.000
ОЛ   -21.000
UL   -21.125
dtype: float64",",      0.000 
.     -21.125
 OL   -21.500
 ,    -22.375
،     -22.500
dtype: float64",,"OL    0.000 
Ol   -18.750
UL   -21.875
ol   -22.250
ОЛ   -22.375
dtype: float64",",      0.000 
.     -21.125
 OL   -21.500
 ,    -22.375
،     -22.500
dtype: float64",
1,2,742,Up early then a bitch driving to denton omg can I move already,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL    0.000 
Ol   -17.375
OH   -17.500
NO   -18.125
UL   -19.875
dtype: float64",",      0.000 
,N    -16.750
.     -21.125
 NH   -21.875
،     -22.125
dtype: float64"," NH     0.00 
NH     -25.00
 NHS   -27.00
 N     -28.25
 NHL   -28.50
dtype: float64","OL    0.000 
Ol   -17.375
OH   -17.500
NO   -18.125
UL   -19.875
dtype: float64",",      0.000 
,N    -16.750
.     -21.125
 NH   -21.875
،     -22.125
dtype: float64"," NH     0.00 
NH     -25.00
 NHS   -27.00
 N     -28.25
 NHL   -28.50
dtype: float64","OL    0.000 
Ol   -17.375
OH   -17.500
NO   -18.125
UL   -19.875
dtype: float64",",      0.000 
,N    -16.750
.     -21.125
 NH   -21.875
،     -22.125
dtype: float64"," NH     0.00 
NH     -25.00
 NHS   -27.00
 N     -28.25
 NHL   -28.50
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH     0.00 
N     -22.50
nh    -22.75
HS    -24.50
 NH   -24.50
dtype: float64",",      0.000 
.     -20.750
 ,    -21.625
 OL   -21.625
،     -21.875
dtype: float64"," OL    0.00 
OL    -17.50
 OH   -20.75
 O    -22.25
 OV   -22.50
dtype: float64","NH    0.00 
N    -20.50
nh   -21.25
HS   -23.00
OH   -24.25
dtype: float64",",      0.000 
.     -20.250
 OL   -20.875
 ,    -21.875
،     -22.000
dtype: float64"," OL    0.00 
OL    -19.00
 OH   -22.25
 O    -24.25
 OW   -24.50
dtype: float64","NH    0.00 
N    -20.50
nh   -21.25
HS   -23.00
OH   -24.25
dtype: float64",",      0.000 
.     -20.250
 OL   -20.875
 ,    -21.875
،     -22.000
dtype: float64"," OL    0.00 
OL    -19.00
 OH   -22.25
 O    -24.25
 OW   -24.50
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,C.HS,NH,NH,NH,NH,NH,NH,"NH    0.000 
N    -20.250
nh   -26.375
Nh   -26.625
HS   -26.750
dtype: float64",",      0.000 
.     -20.250
 OL   -20.875
 ,    -21.875
،     -22.000
dtype: float64",,"NH    0.000 
N    -20.250
nh   -26.375
Nh   -26.625
HS   -26.750
dtype: float64",",      0.000 
.     -20.250
 OL   -20.875
 ,    -21.875
،     -22.000
dtype: float64",,"NH     0.00 
N     -21.50
 NH   -24.25
nh    -24.50
NF    -24.75
dtype: float64",",      0.000 
.     -20.250
 OL   -20.875
 ,    -21.875
،     -22.000
dtype: float64",
1,2,742,Up early then a bitch driving to denton omg can I move already,C.OL,OL,OL,OL,OL,OL,OL,"OL    0.000 
Ol   -19.000
NO   -20.500
O    -21.625
UL   -22.125
dtype: float64",",      0.000 
.     -20.250
 OL   -20.875
 ,    -21.875
،     -22.000
dtype: float64",,"OL    0.000 
Ol   -19.250
NO   -19.500
O    -21.750
UL   -22.125
dtype: float64",",      0.000 
.     -20.250
 OL   -20.875
 ,    -21.875
،     -22.000
dtype: float64",,"OL    0.000 
Ol   -19.000
NO   -19.250
UL   -19.875
O    -21.000
dtype: float64",",      0.000 
.     -20.250
 OL   -20.875
 ,    -21.875
،     -22.000
dtype: float64",
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO     0.000 
no    -18.000
No    -18.500
NH    -19.500
_NO   -19.875
dtype: float64",",     -3.128163e-07
,N    -1.550000e+01
 ,    -1.987500e+01
.     -2.125000e+01
 NH   -2.137500e+01
dtype: float64"," NH     0.00 
NH     -23.50
 nh    -27.50
 NHS   -28.75
 N     -29.50
dtype: float64","NO    -1.936126e-07
no    -1.637500e+01
No    -1.700000e+01
NH    -1.875000e+01
_NO   -1.925000e+01
dtype: float64",",     -3.128163e-07
,N    -1.550000e+01
 ,    -2.012500e+01
 NH   -2.075000e+01
.     -2.150000e+01
dtype: float64"," NH     0.00 
NH     -22.50
 nh    -27.75
 NHS   -28.00
 N     -28.50
dtype: float64","NO    -1.936126e-07
no    -1.625000e+01
No    -1.700000e+01
_NO   -1.837500e+01
NH    -1.837500e+01
dtype: float64",",    -1.936126e-07
,N   -1.600000e+01
 ,   -1.950000e+01
.    -2.137500e+01
،    -2.137500e+01
dtype: float64"," NH     0.00 
NH     -23.25
 N     -28.00
 NHS   -28.25
 nh    -29.00
dtype: float64"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH    0.00 
nh   -23.00
N    -24.00
NO   -26.25
Nh   -27.00
dtype: float64",",      0.000 
 NO   -22.000
 ,    -23.250
.     -23.500
،     -25.125
dtype: float64"," NO   -1.936126e-07
NO    -1.600000e+01
 N    -2.175000e+01
      -2.300000e+01
.NO   -2.375000e+01
dtype: float64","NH    0.00 
nh   -21.75
N    -24.25
NO   -24.50
Nh   -24.75
dtype: float64",",      0.000 
 NO   -21.625
 ,    -22.000
.     -22.125
،     -23.625
dtype: float64"," NO    0.00 
NO    -18.25
 N    -23.25
.NO   -24.25
      -24.75
dtype: float64","NH    0.00 
nh   -23.00
N    -24.00
NO   -26.25
Nh   -27.00
dtype: float64",",      0.000 
 NO   -22.000
 ,    -23.250
.     -23.500
،     -25.125
dtype: float64"," NO   -1.936126e-07
NO    -1.600000e+01
 N    -2.175000e+01
      -2.300000e+01
.NO   -2.375000e+01
dtype: float64"
