batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_score,R2_score,R3_score,R1_Token1,R1_Token2,R1_Token3,R1_Token4,R1_Token5,R2_Token1,R2_Token2,R2_Token3,R2_Token4,R2_Token5,R3_Token1,R3_Token2,R3_Token3,R3_Token4,R3_Token5
1,1,811,Fat fucking funky nasty ass hoes,A_conf,"OL99, NH99","OL99, NH99","OL99, NH99","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['99', '99']","['99', '99']","['99', '99']","OL     0.00 
Ol    -21.75
**    -22.50
 OL   -22.50
O     -22.75
dtype: float64","99    -0.029807 
100   -3.529807 
98    -9.779807 
97    -17.029806
999   -19.779806
dtype: float64",",      0.000 
,N    -19.375
.     -20.500
 ,    -20.500
 HS   -21.000
dtype: float64"," NH     0.00 
NH     -24.25
 NHS   -24.75
 N     -25.50
 NHL   -28.00
dtype: float64","98   -0.494131
99   -0.994131
97   -3.994131
96   -7.244131
95   -7.494131
dtype: float64","OL     0.00 
ol    -23.50
**    -23.50
 OL   -23.50
HS    -23.75
dtype: float64","99    -0.023290 
100   -3.773290 
98    -10.023290
97    -17.523291
999   -20.023291
dtype: float64",",     0.000 
,N   -19.250
.    -20.250
 ,   -21.375
،    -21.875
dtype: float64"," NH     0.00 
NH     -24.25
 N     -25.75
 NHS   -26.00
 NHL   -28.00
dtype: float64","99    -0.101675 
98    -2.351675 
97    -6.851676 
100   -7.851676 
96    -11.351675
dtype: float64","OL     0.00 
Ol    -23.50
 OL   -24.25
ol    -24.50
O     -24.75
dtype: float64","99    -0.038058 
100   -3.288058 
98    -11.038057
97    -18.288057
999   -20.288057
dtype: float64",",      0.000 
,N    -19.750
.     -21.125
 ,    -21.750
 NH   -22.500
dtype: float64"," NH     0.00 
NH     -23.00
 NHS   -25.25
 N     -27.00
 NHL   -28.00
dtype: float64","99    -0.063597 
98    -2.813597 
100   -6.813597 
97    -7.563597 
96    -12.063597
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,B_conf,"NH99, OL100","NH98, OL100","NH98, OL100","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['99', '100']","['98', '100']","['98', '100']","NH     0.00 
HS    -17.50
N     -20.25
 NH   -22.00
HN    -22.50
dtype: float64","99    -0.644905
98    -0.894905
97    -3.144906
96    -4.394906
100   -4.894906
dtype: float64",",      0.000 
.     -20.625
 OL   -21.000
 ,    -21.125
,\n   -23.125
dtype: float64"," OL    0.00 
 O    -21.00
OL    -23.50
 UL   -25.50
 OV   -25.75
dtype: float64","100   -0.001502 
99    -6.501503 
98    -17.001503
97    -20.501503
96    -22.001503
dtype: float64","NH     0.00 
HS    -17.50
N     -20.25
 NH   -22.00
HN    -22.50
dtype: float64","99    -0.644905
98    -0.894905
97    -3.144906
96    -4.394906
100   -4.894906
dtype: float64",",      0.000 
 OL   -21.125
 ,    -21.250
.     -21.500
،     -23.125
dtype: float64"," OL    0.0 
 O    -21.5
OL    -24.5
 UL   -26.0
 OT   -26.5
dtype: float64","100   -0.005234 
99    -5.255234 
999   -22.130234
98    -23.255234
97    -24.880234
dtype: float64","NH     0.00 
HS    -17.50
N     -20.25
 NH   -22.00
HN    -22.50
dtype: float64","99    -0.644905
98    -0.894905
97    -3.144906
96    -4.394906
100   -4.894906
dtype: float64",",      0.000 
 OL   -21.125
 ,    -21.250
.     -21.500
،     -23.125
dtype: float64"," OL    0.0 
 O    -21.5
OL    -24.5
 UL   -26.0
 OT   -26.5
dtype: float64","100   -0.005234 
99    -5.255234 
999   -22.130234
98    -23.255234
97    -24.880234
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,C.OL_conf,OL99,OL99,OL99,['OL'],['OL'],['OL'],['99'],['99'],['99'],"OL     0.00 
Ol    -21.75
OI    -22.25
 OL   -22.50
OLL   -22.75
dtype: float64","99    -0.038134 
100   -3.288134 
98    -9.288135 
97    -15.538135
999   -18.538134
dtype: float64",,,,"OL     0.00 
Ol    -21.25
O     -21.50
 OL   -22.00
OI    -22.00
dtype: float64","99    -0.160306 
100   -1.910306 
98    -9.410306 
97    -15.160306
999   -17.410307
dtype: float64",,,,"OL     0.00 
Ol    -21.25
O     -21.50
 OL   -22.00
OI    -22.00
dtype: float64","99    -0.160306 
100   -1.910306 
98    -9.410306 
97    -15.160306
999   -17.410307
dtype: float64",,,
1,1,811,Fat fucking funky nasty ass hoes,C.HS_conf,NH98,NH98,NH98,['NH'],['NH'],['NH'],['98'],['98'],['98'],"NH     0.00 
HS    -16.75
 NH   -22.50
Nh    -23.00
NJ    -23.00
dtype: float64","98   -0.203608
97   -2.203608
96   -2.953608
99   -4.453608
95   -4.703608
dtype: float64",,,,"NH    0.00 
HS   -16.75
nh   -22.75
HN   -22.75
N    -23.00
dtype: float64","98   -0.14446
97   -2.64446
99   -3.39446
96   -3.64446
95   -5.64446
dtype: float64",,,,"NH    0.00 
HS   -16.75
nh   -22.75
HN   -22.75
N    -23.00
dtype: float64","98   -0.14446
97   -2.64446
99   -3.39446
96   -3.64446
95   -5.64446
dtype: float64",,,
1,2,742,Up early then a bitch driving to denton omg can I move already,A_conf,"OL96, NH99","OL96, NH99","OL96, NH99","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['96', '99']","['96', '99']","['96', '99']","OL     0.00 
NO    -21.00
OH    -21.50
Ol    -23.75
 OL   -24.75
dtype: float64","96   -0.113771
92   -3.113771
94   -3.113771
98   -5.113771
93   -5.363771
dtype: float64",",      0.000 
,N    -20.000
 NH   -21.750
 ,    -23.375
،     -24.125
dtype: float64"," NH     0.00 
NH     -27.25
 N     -27.75
 NHS   -28.00
 NHL   -30.00
dtype: float64","99    -0.011056 
100   -4.511055 
98    -11.761056
97    -17.261055
95    -20.511055
dtype: float64","OL     0.00 
NO    -21.00
OH    -21.50
Ol    -23.75
 OL   -24.75
dtype: float64","96   -0.113771
92   -3.113771
94   -3.113771
98   -5.113771
93   -5.363771
dtype: float64",",      0.000 
,N    -20.000
 NH   -21.750
 ,    -23.375
،     -24.125
dtype: float64"," NH     0.00 
NH     -27.25
 N     -27.75
 NHS   -28.00
 NHL   -30.00
dtype: float64","99    -0.011056 
100   -4.511055 
98    -11.761056
97    -17.261055
95    -20.511055
dtype: float64","OL     0.00 
NO    -21.00
OH    -21.50
Ol    -23.75
 OL   -24.75
dtype: float64","96   -0.113771
92   -3.113771
94   -3.113771
98   -5.113771
93   -5.363771
dtype: float64",",      0.000 
,N    -20.000
 NH   -21.750
 ,    -23.375
،     -24.125
dtype: float64"," NH     0.00 
NH     -27.25
 N     -27.75
 NHS   -28.00
 NHL   -30.00
dtype: float64","99    -0.011056 
100   -4.511055 
98    -11.761056
97    -17.261055
95    -20.511055
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,B_conf,"NH99, OL96","NH99, OL96","NH99, OL96","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['99', '96']","['99', '96']","['99', '96']","NH     0.00 
HS    -18.50
N     -23.00
 NH   -25.50
HN    -25.75
dtype: float64","99    -0.002213 
100   -6.502213 
98    -7.252213 
97    -13.502213
96    -17.252213
dtype: float64",",      0.000 
 OL   -20.625
.     -21.000
 ,    -21.000
،     -22.500
dtype: float64"," OL    0.00 
 O    -21.50
OL    -21.50
 UL   -26.25
 OT   -26.75
dtype: float64","96   -0.154833
92   -2.904833
94   -2.904833
95   -4.404833
97   -4.654833
dtype: float64","NH     0.00 
HS    -20.00
N     -23.00
 NH   -24.25
HN    -25.25
dtype: float64","99    -0.004989 
100   -5.504989 
98    -7.004989 
97    -12.754990
96    -16.004990
dtype: float64",",      0.000 
 OL   -21.750
.     -21.875
 ,    -22.125
،     -23.000
dtype: float64"," OL    0.00 
 O    -20.50
OL    -22.00
 UL   -24.75
 OV   -26.75
dtype: float64","96   -0.079833
94   -3.329833
92   -3.829833
97   -4.579833
95   -5.329833
dtype: float64","NH     0.00 
HS    -18.50
N     -23.00
 NH   -25.50
HN    -25.75
dtype: float64","99    -0.002213 
100   -6.502213 
98    -7.252213 
97    -13.502213
96    -17.252213
dtype: float64",",      0.000 
 OL   -20.625
.     -21.000
 ,    -21.000
،     -22.500
dtype: float64"," OL    0.00 
 O    -21.50
OL    -21.50
 UL   -26.25
 OT   -26.75
dtype: float64","96   -0.154833
92   -2.904833
94   -2.904833
95   -4.404833
97   -4.654833
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,C.OL_conf,OL98,OL99,OL98,['OL'],['OL'],['OL'],['98'],['99'],['98'],"OL     0.00 
NO    -21.75
 OL   -23.00
UL    -23.25
Ol    -23.25
dtype: float64","98    -0.436283
99    -1.186283
97    -3.186283
96    -5.186283
100   -7.186283
dtype: float64",,,,"OL     0.00 
NO    -21.75
 OL   -23.00
UL    -23.25
Ol    -23.25
dtype: float64","98    -0.436283
99    -1.186283
97    -3.186283
96    -5.186283
100   -7.186283
dtype: float64",,,,"OL     0.00 
NO    -21.50
 OL   -23.50
Ol    -24.00
UL    -24.25
dtype: float64","98    -0.508758
99    -1.008758
97    -3.508758
96    -5.758758
100   -7.258758
dtype: float64",,,
1,2,742,Up early then a bitch driving to denton omg can I move already,C.HS_conf,NH99,NH99,NH99,['NH'],['NH'],['NH'],['99'],['99'],['99'],"NH     0.00 
N     -24.75
 NH   -26.75
Nh    -27.00
nh    -27.25
dtype: float64","99    -0.004108 
98    -5.504108 
100   -11.004108
97    -11.254108
96    -15.004108
dtype: float64",,,,"NH     0.00 
N     -22.50
HS    -24.50
 NH   -24.75
Nh    -25.00
dtype: float64","99    -0.008670 
98    -4.758670 
100   -10.008670
97    -11.508670
96    -16.008669
dtype: float64",,,,"NH     0.00 
N     -22.50
HS    -24.50
 NH   -24.75
Nh    -25.00
dtype: float64","99    -0.008670 
98    -4.758670 
100   -10.008670
97    -11.508670
96    -16.008669
dtype: float64",,,
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,A_conf,"NO98, NH99","NO98, NH99","NO95, NH99","['NO', 'NH']","['NO', 'NH']","['NO', 'NH']","['98', '99']","['98', '99']","['95', '99']","NO     0.00 
OL    -20.25
no    -21.00
N     -21.50
_NO   -23.50
dtype: float64","98   -0.714046
96   -1.464046
97   -1.714046
95   -2.714046
99   -3.464046
dtype: float64",",      0.00 
,N    -16.75
.     -19.75
 ,    -20.25
 NH   -20.50
dtype: float64"," NH     0.00 
NH     -23.75
 N     -27.25
 NHS   -27.75
 H     -28.75
dtype: float64","99    -0.04859 
100   -3.04859 
98    -13.04859
97    -14.54859
96    -17.54859
dtype: float64","NO     0.00 
N     -22.75
OL    -23.75
_NO   -24.50
no    -25.00
dtype: float64","98   -1.122201
96   -1.122201
97   -1.622201
95   -2.122201
99   -3.622201
dtype: float64",",     -1.936126e-07
,N    -1.562500e+01
 NH   -1.950000e+01
.     -2.037500e+01
 ,    -2.037500e+01
dtype: float64"," NH     0.00 
NH     -23.50
 N     -27.25
 NHS   -27.50
 NO    -27.75
dtype: float64","99    -0.078895 
100   -2.578895 
98    -12.328895
97    -14.078895
95    -16.828896
dtype: float64","NO     0.00 
N     -22.75
OL    -23.75
_NO   -24.50
no    -25.00
dtype: float64","98   -1.122201
96   -1.122201
97   -1.622201
95   -2.122201
99   -3.622201
dtype: float64",",    -1.936126e-07
,N   -1.600000e+01
.    -1.937500e+01
 ,   -1.987500e+01
،    -2.112500e+01
dtype: float64"," NH     0.00 
NH     -22.00
 NHS   -27.00
 NO    -27.25
 N     -27.75
dtype: float64","99    -0.000155 
98    -9.250154 
100   -9.750154 
97    -16.250154
95    -18.250154
dtype: float64"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,B_conf,"NH99, NO98","NH99, NO98","NH99, NO95","['NH', 'NO']","['NH', 'NO']","['NH', 'NO']","['99', '98']","['99', '98']","['99', '95']","NH     0.00 
nh    -24.50
HS    -26.25
 NH   -27.50
Nh    -28.00
dtype: float64","99    -0.006735 
100   -5.256734 
98    -6.506734 
97    -12.006735
96    -15.756735
dtype: float64",",      0.000 
.     -20.875
 ,    -22.000
،     -22.375
 NO   -22.875
dtype: float64"," NO     0.0 
NO     -23.5
 N     -28.5
 NOI   -29.0
 OL    -29.0
dtype: float64","98   -0.630731
97   -1.380731
96   -1.880731
95   -2.880731
99   -4.880731
dtype: float64","NH     0.00 
nh    -24.50
HS    -26.25
 NH   -27.50
Nh    -28.00
dtype: float64","99    -0.006735 
100   -5.256734 
98    -6.506734 
97    -12.006735
96    -15.756735
dtype: float64",",      0.000 
.     -20.875
 ,    -22.000
،     -22.375
 NO   -22.875
dtype: float64"," NO     0.0 
NO     -23.5
 N     -28.5
 NOI   -29.0
 OL    -29.0
dtype: float64","98   -0.630731
97   -1.380731
96   -1.880731
95   -2.880731
99   -4.880731
dtype: float64","NH     0.00 
nh    -24.50
HS    -26.25
 NH   -27.50
Nh    -28.00
dtype: float64","99    -0.006735 
100   -5.256734 
98    -6.506734 
97    -12.006735
96    -15.756735
dtype: float64",",      0.000 
.     -20.875
 ,    -22.000
،     -22.375
 NO   -22.875
dtype: float64"," NO     0.0 
NO     -23.5
 N     -28.5
 NOI   -29.0
 OL    -29.0
dtype: float64","98   -0.630731
97   -1.380731
96   -1.880731
95   -2.880731
99   -4.880731
dtype: float64"
