batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_label,R2_label,R3_label
3,5,1,@###### bro that hoe live,A_batch,"['OL', 'HS']","['OL', 'NH']","['OL', 'NH']"
3,5,1,@###### bro that hoe live,B_batch,"['HS', 'OL']","['HS', 'OL']","['HS', 'OL']"
3,5,1,@###### bro that hoe live,C.HS_batch,['HS'],['HS'],['HS']
3,5,1,@###### bro that hoe live,C.OL_batch,['OL'],['OL'],['OL']
25,1,2,"Stop using the word ""redskin(s)"".",A_batch,"['OL', 'NH']","['NO', 'NO']","['OL', 'NH']"
25,1,2,"Stop using the word ""redskin(s)"".",B_batch,"['NH', 'OL']","['NH', 'OL']","['NH', 'NO']"
25,1,2,"Stop using the word ""redskin(s)"".",C.HS_batch,['HS'],['NH'],['NH']
25,1,2,"Stop using the word ""redskin(s)"".",C.OL_batch,['OL'],['OL'],['OL']
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,A_batch,"['OL', 'HS']","['OL', 'NH']","['OL', 'HS']"
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,B_batch,"['HS', 'OL']","['OL', 'OL']","['HS', 'OL']"
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,C.HS_batch,['HS'],['HS'],['HS']
214,6,3,Now when I put this pussy on Vivian she bet not be playing &#128514;&#128557;&#128527;,C.OL_batch,['OL'],['OL'],['OL']
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,A_batch,"['OL', 'HS']","['OL', 'HS']","['OL', 'NH']"
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,B_batch,"['OL', 'OL']","['NH', 'NO']","['HS', 'OL']"
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,C.HS_batch,['NH'],['NH'],['NH']
204,4,4,RT @###### Call her 1st thing in da AM.... Let her know dat pussy on yo mind....,C.OL_batch,['OL'],['OL'],['OL']
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,A_batch,"['OL', 'HS']","['OL', 'HS']","['OL', 'NH']"
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,B_batch,"['HS', 'OL']","['NH', 'OL']","['HS', 'OL']"
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,C.HS_batch,['HS'],['NH'],['HS']
482,2,5,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,C.OL_batch,['OL'],['OL'],['OL']
187,4,6,@###### @###### fight me you fucking obese niglet,A_batch,"['OL', 'HS']","['OL', 'HS']","['OL', 'HS']"
187,4,6,@###### @###### fight me you fucking obese niglet,B_batch,"['HS', 'OL']","['HS', 'OL']","['HS', 'OL']"
187,4,6,@###### @###### fight me you fucking obese niglet,C.HS_batch,['HS'],['HS'],['HS']
187,4,6,@###### @###### fight me you fucking obese niglet,C.OL_batch,['OL'],['OL'],['OL']
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,A_batch,"['NO', 'NH']","['NO', 'NH']","['NO', 'NO']"
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,B_batch,"['NH', 'OL']","['NH', 'OL']","['NO', 'NO']"
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,C.HS_batch,['NH'],['NH'],['NH']
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,C.OL_batch,['NO'],['NO'],['NO']
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,A_batch,"['OL', 'NH']","['OL', 'HS']","['OL', 'NH']"
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,B_batch,"['NH', 'OL']","['NH', 'OL']","['HS', 'OL']"
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,C.HS_batch,['NH'],['HS'],['NH']
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,C.OL_batch,['OL'],['OL'],['OL']
423,3,9,@###### @###### trash,A_batch,"['OL', 'HS']","['NO', 'NH']","['OL', 'HS']"
423,3,9,@###### @###### trash,B_batch,"['NH', 'OL']","['NH', 'NO']","['NH', 'OL']"
423,3,9,@###### @###### trash,C.HS_batch,['NH'],['NH'],['NH']
423,3,9,@###### @###### trash,C.OL_batch,['NO'],['OL'],['OL']
381,4,10,@###### I hate that nigger.,A_batch,"['HS', 'HS']","['OL', 'HS']","['OL', 'HS']"
381,4,10,@###### I hate that nigger.,B_batch,"['HS', 'OL']","['HS', 'OL']","['HS', 'OL']"
381,4,10,@###### I hate that nigger.,C.HS_batch,['HS'],['HS'],['HS']
381,4,10,@###### I hate that nigger.,C.OL_batch,['OL'],['OL'],['OL']
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,A_batch,"['NO', 'NO']","['NO', 'NO']","['NO', 'NH']"
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,B_batch,"['NH', 'NO']","['NH', 'NO']","['NH', 'NO']"
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,C.HS_batch,['NH'],['NH'],['NH']
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,C.OL_batch,['NO'],['NO'],['NO']
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",A_batch,"['OL', 'HS']","['OL', 'HS']","['OL', 'HS']"
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",B_batch,"['NH', 'OL']","['HS', 'OL']","['HS', 'OL']"
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",C.HS_batch,['HS'],['HS'],['HS']
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",C.OL_batch,['NO'],['OL'],['OL']
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,A_batch,"['NO', 'NH']","['NO', 'NO']","['NO', 'NH']"
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,B_batch,"['NO', 'OL']","['NH', 'OL']","['NO', 'NO']"
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,C.HS_batch,['NH'],['NH'],['NH']
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,C.OL_batch,['NO'],['NO'],['NO']
382,6,14,@###### dude was a bitch nigga and took off running,A_batch,"['OL', 'HS']","['OL', 'HS']","['OL', 'NH']"
382,6,14,@###### dude was a bitch nigga and took off running,B_batch,"['OL', 'NO']","['OL', 'OL']","['HS', 'OL']"
382,6,14,@###### dude was a bitch nigga and took off running,C.HS_batch,['HS'],['HS'],['HS']
382,6,14,@###### dude was a bitch nigga and took off running,C.OL_batch,[],['OL'],[]
99,1,15,@###### brooooo I miss you bitch,A_batch,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']"
99,1,15,@###### brooooo I miss you bitch,B_batch,"['NH', 'NO']","['NH', 'NO']","['NH', 'NO']"
99,1,15,@###### brooooo I miss you bitch,C.HS_batch,['NH'],['HS'],['NH']
99,1,15,@###### brooooo I miss you bitch,C.OL_batch,['OL'],['OL'],['OL']
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,A_batch,"['NO', 'NH']","['NO', 'NH']","['OL', 'NH']"
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,B_batch,"['NH', 'NO']","['NH', 'NO']","['NH', 'NO']"
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,C.HS_batch,['NH'],['NH'],['HS']
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,C.OL_batch,['NO'],[],['NO']
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",A_batch,"['NO', 'HS']","['OL', 'HS']","['OL', 'NH']"
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",B_batch,"['HS', 'NO']","['NH', 'OL']","['HS', 'OL']"
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",C.HS_batch,['NH'],['NL'],['HS']
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",C.OL_batch,['OL'],['OL'],['OL']
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,A_batch,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']"
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,B_batch,"['HS', 'NO']","['NH', 'NO']","['NH', 'NO']"
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,C.HS_batch,['NH'],['HS'],['NH']
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,C.OL_batch,['OL'],['OL'],['OL']
270,1,19,@###### whats your youtube channel then faggot,A_batch,"['OL', 'NH']","['OL', 'HS']","['NO', 'HS']"
270,1,19,@###### whats your youtube channel then faggot,B_batch,"['NH', 'OL']","['NH', 'NO']","['NH', 'OL']"
270,1,19,@###### whats your youtube channel then faggot,C.HS_batch,['HS'],['HS'],['HS']
