batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_Token1,R1_Token2,R1_Token3,R2_Token1,R2_Token2,R2_Token3,R3_Token1,R3_Token2,R3_Token3
1,1,811,Fat fucking funky nasty ass hoes,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL   -0.000053
dtype: float64",",   -0.000046
dtype: float64"," NH   -0.000061
dtype: float64","OL    0.000031
dtype: float64",",    0.000008
dtype: float64"," NH   -0.000168
dtype: float64","OL    0.000031
dtype: float64",",    0.000008
dtype: float64"," NH   -0.000168
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH   -0.000027
dtype: float64",",    0.000034
dtype: float64"," OL   -0.000038
dtype: float64","NH   -0.000034
dtype: float64",",   -0.000023
dtype: float64"," OL    0.000015
dtype: float64","NH   -0.000034
dtype: float64",",   -0.000023
dtype: float64"," OL    0.000015
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,C.HS,NH,NH,NH,NH,NH,NH,"NH   -0.000416
dtype: float64",",   -0.000023
dtype: float64",,"NH   -0.000927
dtype: float64",",   -0.000023
dtype: float64",,"NH   -0.000259
dtype: float64",",   -0.000023
dtype: float64",
1,1,811,Fat fucking funky nasty ass hoes,C.OL,OL,OL,OL,OL,OL,OL,"OL   -0.000065
dtype: float64",",   -0.000023
dtype: float64",,"OL   -0.000023
dtype: float64",",   -0.000023
dtype: float64",,"OL   -0.000023
dtype: float64",",   -0.000023
dtype: float64",
1,2,742,Up early then a bitch driving to denton omg can I move already,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL   -0.000034
dtype: float64",",   -0.000015
dtype: float64"," NH   -0.000004
dtype: float64","OL    0.0
dtype: float64",",    0.000008
dtype: float64"," NH   -0.000034
dtype: float64","OL    0.0
dtype: float64",",    0.000008
dtype: float64"," NH    0.000008
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH    0.000011
dtype: float64",",   -0.000019
dtype: float64"," OL   -0.000015
dtype: float64","NH    0.000042
dtype: float64",",   -0.000031
dtype: float64"," OL    0.0
dtype: float64","NH    0.000011
dtype: float64",",   -0.000019
dtype: float64"," OL   -0.000015
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,C.HS,NH,NH,NH,NH,NH,NH,"NH    0.000023
dtype: float64",",   -0.000019
dtype: float64",,"NH    0.000023
dtype: float64",",   -0.000019
dtype: float64",,"NH    0.000023
dtype: float64",",   -0.000019
dtype: float64",
1,2,742,Up early then a bitch driving to denton omg can I move already,C.OL,OL,OL,OL,OL,OL,OL,"OL   -0.000042
dtype: float64",",   -0.000019
dtype: float64",,"OL   -0.000011
dtype: float64",",   -0.000019
dtype: float64",,"OL   -0.000042
dtype: float64",",   -0.000019
dtype: float64",
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO   -0.000019
dtype: float64",",   -0.000065
dtype: float64"," NH   -0.000042
dtype: float64","NO    0.000015
dtype: float64",",   -0.000015
dtype: float64"," NH    0.000038
dtype: float64","NO   -0.000019
dtype: float64",",   -0.000065
dtype: float64"," NH   -0.000042
dtype: float64"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH    0.000038
dtype: float64",",    0.000019
dtype: float64"," NO   -0.011116
dtype: float64","NH    0.000038
dtype: float64",",    0.000019
dtype: float64"," NO   -0.011116
dtype: float64","NH    0.000019
dtype: float64",",    0.0
dtype: float64"," NO   -0.00095
dtype: float64"
