batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_label,R2_label,R3_label
1,1,811,Fat fucking funky nasty ass hoes,A_batch,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']"
1,1,811,Fat fucking funky nasty ass hoes,B_batch,"['NH', 'OL']","['NH', 'OL']","['NH', 'OL']"
1,1,811,Fat fucking funky nasty ass hoes,C.HS_batch,['NH'],['NH'],['NH']
1,1,811,Fat fucking funky nasty ass hoes,C.OL_batch,['OL'],['OL'],['OL']
1,2,742,Up early then a bitch driving to denton omg can I move already,A_batch,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']"
1,2,742,Up early then a bitch driving to denton omg can I move already,B_batch,"['NH', 'OL']","['NH', 'OL']","['NH', 'OL']"
1,2,742,Up early then a bitch driving to denton omg can I move already,C.HS_batch,['NH'],['NH'],['NH']
1,2,742,Up early then a bitch driving to denton omg can I move already,C.OL_batch,['OL'],['OL'],['OL']
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,A_batch,"['NO', 'NH']","['NO', 'NH']","['NO', 'NH']"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,B_batch,"['NH', 'NO']","['NH', 'NO']","['NH', 'NO']"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,C.HS_batch,['NH'],['NH'],['NH']
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,C.OL_batch,['NO'],['NO'],['NO']
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,A_batch,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']"
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,B_batch,"['HS', 'OL']","['HS', 'OL']","['HS', 'OL']"
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,C.HS_batch,['HS'],['HS'],['HS']
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,C.OL_batch,['OL'],['OL'],['OL']
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,A_batch,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']"
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,B_batch,"['NH', 'OL']","['NH', 'OL']","['NH', 'OL']"
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,C.HS_batch,['NH'],['NH'],['NH']
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,C.OL_batch,['OL'],['OL'],['OL']
1,6,2528,Fuck that shit I'm out this bitch,A_batch,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']"
1,6,2528,Fuck that shit I'm out this bitch,B_batch,"['NH', 'OL']","['NH', 'OL']","['NH', 'OL']"
1,6,2528,Fuck that shit I'm out this bitch,C.HS_batch,['NH'],['NH'],['NH']
1,6,2528,Fuck that shit I'm out this bitch,C.OL_batch,['OL'],['OL'],['OL']
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,A_batch,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']"
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,B_batch,"['NH', 'OL']","['NH', 'OL']","['NH', 'OL']"
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,C.HS_batch,['NH'],['NH'],['NH']
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,C.OL_batch,['OL'],['OL'],['OL']
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,A_batch,"['OL', 'HS']","['OL', 'HS']","['OL', 'HS']"
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,B_batch,"['HS', 'OL']","['HS', 'OL']","['HS', 'OL']"
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,C.HS_batch,['HS'],['HS'],['HS']
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,C.OL_batch,['OL'],['OL'],['OL']
2,3,1785,Thou shall not mock Ryan(the future)Kelly,A_batch,"['NO', 'NH']","['NO', 'NH']","['NO', 'NH']"
2,3,1785,Thou shall not mock Ryan(the future)Kelly,B_batch,"['NH', 'NO']","['NH', 'NO']","['NH', 'NO']"
2,3,1785,Thou shall not mock Ryan(the future)Kelly,C.HS_batch,['NH'],['NH'],['NH']
2,3,1785,Thou shall not mock Ryan(the future)Kelly,C.OL_batch,['NO'],['NO'],['NO']
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",A_batch,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']"
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",B_batch,"['OL', 'OL']","['OL', 'OL']","['OL', 'OL']"
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",C.HS_batch,['NH'],['NH'],['NH']
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",C.OL_batch,['OL'],['OL'],['OL']
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",A_batch,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']"
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",B_batch,"['OL', 'OL']","['OL', 'OL']","['OL', 'OL']"
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",C.HS_batch,['NH'],['NH'],['NH']
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",C.OL_batch,['OL'],['OL'],['OL']
2,6,164,Average is basic and basic is trash &#128514;&#128514;,A_batch,"['NO', 'NH']","['NO', 'NH']","['NO', 'NH']"
2,6,164,Average is basic and basic is trash &#128514;&#128514;,B_batch,"['NH', 'NO']","['NH', 'NO']","['NH', 'NO']"
2,6,164,Average is basic and basic is trash &#128514;&#128514;,C.HS_batch,['NH'],['NH'],['NH']
2,6,164,Average is basic and basic is trash &#128514;&#128514;,C.OL_batch,['NO'],['NO'],['NO']
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",A_batch,"['OL', 'HS']","['OL', 'HS']","['OL', 'HS']"
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",B_batch,"['HS', 'OL']","['HS', 'OL']","['HS', 'OL']"
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",C.HS_batch,['HS'],['HS'],['HS']
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",C.OL_batch,['OL'],['OL'],['OL']
3,2,1819,&#8220;@###### Ur ex girlfriend is a slut&#8221; fr f dat hoe,A_batch,"['OL', 'NH']","['OL', 'NH']","['OL', 'NH']"
