batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_score,R2_score,R3_score,R1_Token1,R1_Token2,R1_Token3,R1_Token4,R1_Token5,R2_Token1,R2_Token2,R2_Token3,R2_Token4,R2_Token5,R3_Token1,R3_Token2,R3_Token3,R3_Token4,R3_Token5
1,1,811,Fat fucking funky nasty ass hoes,A_conf,"OL90, NH95","OL90, NH95","OL100, NH90","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['90', '95']","['100', '90']","OL    -1.936126e-07
 OL   -1.675000e+01
AL    -1.825000e+01
OW    -2.025000e+01
UL    -2.037500e+01
dtype: float64","100   -1.017285 
90    -1.142285 
95    -1.142285 
85    -8.517285 
99    -11.017285
dtype: float64",",     0.000 
;    -24.750
 ,   -25.875
，    -26.500
،    -27.250
dtype: float64"," NH    0.00 
 NO   -16.75
 HS   -18.50
NH    -18.50
 NS   -20.50
dtype: float64","95    -0.039075
85    -3.539075
100   -4.914075
90    -6.664075
80    -8.164075
dtype: float64","OL     0.000 
 OL   -17.375
AL    -19.000
OW    -20.750
UL    -21.000
dtype: float64","90    -0.827333 
95    -0.827333 
100   -2.077333 
85    -8.327333 
99    -10.577333
dtype: float64",",     0.000 
;    -24.750
 ,   -25.875
，    -26.500
،    -27.250
dtype: float64"," NH   -3.128163e-07
 NO   -1.625000e+01
 HS   -1.650000e+01
NH    -1.850000e+01
 NS   -1.962500e+01
dtype: float64","95    -0.051378
85    -3.301378
100   -4.551377
90    -6.301377
80    -7.926377
dtype: float64","OL     0.000 
 OL   -17.375
AL    -19.000
OW    -20.750
UL    -21.000
dtype: float64","100   -1.058924 
90    -1.058924 
95    -1.183924 
85    -8.433924 
99    -10.933924
dtype: float64",",     0.000 
;    -23.750
 ,   -25.250
，    -26.125
,N   -26.500
dtype: float64"," NH   -5.512236e-07
 NO   -1.525000e+01
 HS   -1.525000e+01
 NS   -1.800000e+01
NH    -1.800000e+01
dtype: float64","90    -0.080184 
95    -2.580184 
85    -6.705184 
80    -10.205184
100   -10.455184
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,B_conf,"NH90, OL95","NH70, OL90","NH70, OL90","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '95']","['70', '90']","['70', '90']","NH    -0.014164 
HS    -4.264164 
 NH   -14.889164
NS    -16.264164
HH    -16.389164
dtype: float64","90   -0.17423
80   -2.42423
85   -3.04923
70   -4.17423
10   -5.92423
dtype: float64",",     0.000 
;    -24.375
 ,   -25.250
，    -26.125
،    -26.250
dtype: float64"," OL    0.000 
OL    -19.750
      -25.250
 O    -25.375
 UL   -26.000
dtype: float64","95    -0.477727 
100   -0.977727 
90    -5.852727 
85    -7.227727 
99    -11.102727
dtype: float64","NH    -0.014164 
HS    -4.264164 
 NH   -14.889164
NS    -16.264164
HH    -16.389164
dtype: float64","90   -0.17423
80   -2.42423
85   -3.04923
70   -4.17423
10   -5.92423
dtype: float64",",     0.000 
 ,   -24.375
;    -24.500
，    -25.875
،    -26.125
dtype: float64"," OL    0.000 
OL    -20.000
      -24.875
 UL   -25.500
 O    -26.000
dtype: float64","90    -0.220564 
95    -1.720564 
100   -3.970564 
85    -9.220564 
99    -12.470564
dtype: float64","NH    -0.048589 
HS    -3.048589 
 NH   -14.673589
HH    -15.673589
HN    -15.673589
dtype: float64","90   -0.439202
80   -1.314202
85   -2.814202
70   -3.939202
75   -5.564202
dtype: float64",",     0.000 
 ,   -24.250
;    -24.375
，    -25.750
،    -26.000
dtype: float64"," OL    0.000 
OL    -20.000
      -25.375
 O    -25.875
 UL   -26.000
dtype: float64","90    -0.211803 
95    -1.711803 
100   -4.586802 
85    -8.836802 
99    -12.836802
dtype: float64"
1,1,811,Fat fucking funky nasty ass hoes,C.OL_conf,OL95,OL95,OL95,['OL'],['OL'],['OL'],['95'],['95'],['95'],"OL     0.000 
 OL   -17.875
AL    -18.875
OW    -20.500
UL    -20.625
dtype: float64","95    -0.119831
100   -2.369831
90    -3.994831
98    -7.494831
99    -8.369831
dtype: float64",,,,"OL     0.000 
 OL   -17.125
AL    -18.625
UL    -20.375
OW    -20.875
dtype: float64","95    -0.299819
100   -1.424819
90    -4.049819
98    -7.424819
99    -8.299819
dtype: float64",,,,"OL     0.00 
 OL   -17.75
AL    -19.00
OW    -20.75
NO    -20.75
dtype: float64","95    -0.098588
100   -2.848588
90    -3.348588
85    -7.848588
98    -8.223587
dtype: float64",,,
1,1,811,Fat fucking funky nasty ass hoes,C.HS_conf,HS90,HS85,HS85,['HS'],['HS'],['HS'],['90'],['85'],['85'],"HS    -0.00001 
NH    -11.50001
 HS   -16.37501
H     -17.25001
HH    -17.25001
dtype: float64","85   -0.339695
90   -1.339695
75   -4.089695
95   -4.714695
70   -8.214695
dtype: float64",,,,"HS    -0.000036 
NH    -10.250035
 HS   -16.375036
HH    -16.625036
H     -17.125036
dtype: float64","85   -0.238310
90   -1.863310
75   -2.988310
95   -5.238309
70   -6.863309
dtype: float64",,,,"HS    -0.000007 
NH    -12.000007
 HS   -16.375006
H     -17.375006
HH    -17.375006
dtype: float64","85   -0.337137
90   -1.337137
75   -4.337137
95   -4.587137
70   -8.337137
dtype: float64",,,
1,2,742,Up early then a bitch driving to denton omg can I move already,A_conf,"OL90, NH95","OL100, NH90","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['100', '90']","['90', '95']","OL    -1.936126e-07
 OL   -1.587500e+01
AL    -1.850000e+01
OW    -2.012500e+01
Ol    -2.012500e+01
dtype: float64","90    -0.148966
80    -2.898966
85    -2.898966
100   -3.773966
95    -5.273966
dtype: float64",",     0.000 
;    -24.250
 ,   -24.250
,N   -24.750
，    -25.375
dtype: float64"," NH   -0.000002 
 NO   -13.000002
NH    -18.625002
 N    -21.000002
 NS   -21.000002
dtype: float64","95    -0.036187
100   -3.661187
85    -5.036187
90    -6.161187
99    -7.161187
dtype: float64","OL    -1.936126e-07
 OL   -1.587500e+01
AL    -1.850000e+01
OW    -2.012500e+01
Ol    -2.012500e+01
dtype: float64","90    -0.148966
80    -2.898966
85    -2.898966
100   -3.773966
95    -5.273966
dtype: float64",",      0.000 
;     -24.000
,N    -24.000
 ,    -25.125
 NH   -25.375
dtype: float64"," NH   -0.000003 
 NO   -12.750003
NH    -18.500004
 NS   -20.375004
 NM   -20.750004
dtype: float64","90    -0.048935 
95    -3.048935 
85    -8.173936 
100   -10.423936
80    -10.423936
dtype: float64","OL    -1.936126e-07
 OL   -1.587500e+01
AL    -1.850000e+01
OW    -2.012500e+01
Ol    -2.012500e+01
dtype: float64","90    -0.148966
80    -2.898966
85    -2.898966
100   -3.773966
95    -5.273966
dtype: float64",",     0.000 
;    -24.625
 ,   -24.875
,N   -25.250
，    -25.625
dtype: float64"," NH   -0.000004 
 NO   -12.500004
NH    -18.750004
 NS   -20.875004
 N    -21.125004
dtype: float64","95    -0.039381
100   -3.664382
85    -4.664382
90    -6.039382
99    -7.289382
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,B_conf,"NH90, OL85","NH85, OL95","NH90, OL85","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '85']","['85', '95']","['90', '85']","NH    -4.320200e-07
 NH   -1.475000e+01
Nh    -1.962500e+01
NF    -2.050000e+01
NM    -2.062500e+01
dtype: float64","90   -0.499057
85   -1.249057
80   -2.249057
75   -8.374057
70   -8.499057
dtype: float64",",     0.00 
;    -25.00
 ,   -25.00
，    -25.50
،    -26.25
dtype: float64"," OL    0.000 
OL    -20.250
      -24.375
 O    -24.500
 UL   -25.750
dtype: float64","85    -0.55934
80    -1.93434
95    -2.05934
100   -2.55934
90    -2.55934
dtype: float64","NH    -4.320200e-07
 NH   -1.475000e+01
Nh    -1.962500e+01
NF    -2.025000e+01
NL    -2.037500e+01
dtype: float64","90   -0.60458
85   -1.10458
80   -2.10458
95   -8.22958
75   -9.10458
dtype: float64",",     0.000 
;    -25.125
 ,   -25.250
，    -26.125
،    -27.000
dtype: float64"," OL    0.000 
OL    -20.500
      -24.500
 O    -25.000
 UL   -25.625
dtype: float64","90    -0.314019 
95    -1.314019 
100   -7.314019 
75    -9.814018 
85    -10.939018
dtype: float64","NH    -4.320200e-07
 NH   -1.475000e+01
Nh    -1.975000e+01
NF    -2.062500e+01
NM    -2.075000e+01
dtype: float64","90   -0.604757
85   -1.104757
80   -2.104757
75   -8.229757
70   -8.479757
dtype: float64",",     0.000 
 ,   -24.375
;    -24.500
，    -25.000
،    -25.625
dtype: float64"," OL    0.000 
OL    -20.250
      -24.375
 O    -24.500
 UL   -25.625
dtype: float64","85    -0.672999
95    -1.797999
90    -1.922999
100   -2.422999
80    -2.422999
dtype: float64"
1,2,742,Up early then a bitch driving to denton omg can I move already,C.OL_conf,OL85,OL85,OL85,['OL'],['OL'],['OL'],['85'],['85'],['85'],"OL    -1.936126e-07
NO    -1.625000e+01
 OL   -1.737500e+01
AL    -1.837500e+01
OW    -2.025000e+01
dtype: float64","85    -0.536645
90    -1.036645
95    -2.911645
80    -5.161645
100   -7.786645
dtype: float64",,,,"OL     0.000 
 OL   -17.250
NO    -18.125
AL    -18.625
OW    -20.250
dtype: float64","85    -0.360311
90    -1.360311
95    -3.360311
80    -4.610311
100   -6.860311
dtype: float64",,,,"OL    -1.936126e-07
NO    -1.625000e+01
 OL   -1.737500e+01
AL    -1.837500e+01
OW    -2.025000e+01
dtype: float64","85    -0.471695
90    -1.221695
95    -2.596695
80    -5.096695
100   -7.471695
dtype: float64",,,
1,2,742,Up early then a bitch driving to denton omg can I move already,C.HS_conf,NH75,NH85,NH85,['NH'],['NH'],['NH'],['75'],['85'],['85'],"NH      -9.088346e-07
 NH     -1.462500e+01
N       -1.662500e+01
The     -1.662500e+01
Label   -1.675000e+01
dtype: float64","85   -0.257598
75   -1.507598
90   -5.757598
70   -6.382598
80   -7.132598
dtype: float64",,,,"NH    -7.896310e-07
 NH   -1.462500e+01
N     -1.662500e+01
The   -1.675000e+01
NF    -1.737500e+01
dtype: float64","85   -0.20606
75   -1.70606
90   -5.95606
70   -6.58106
80   -7.33106
dtype: float64",,,,"NH      -7.896310e-07
 NH     -1.450000e+01
N       -1.662500e+01
Label   -1.675000e+01
The     -1.687500e+01
dtype: float64","85   -0.165174
75   -1.915174
90   -5.790174
70   -6.665174
80   -7.415174
dtype: float64",,,
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,A_conf,"NO100, NH100","NO100, NH100","NO100, NH100","['NO', 'NH']","['NO', 'NH']","['NO', 'NH']","['100', '100']","['100', '100']","['100', '100']","NO    -0.000007 
OL    -11.875008
 NO   -16.000008
No    -16.125008
NL    -16.750008
dtype: float64","100   -0.00597 
95    -5.75597 
90    -6.00597 
99    -8.13097 
80    -10.75597
dtype: float64",",     0.000 
;    -24.000
 ,   -24.125
,N   -24.875
，    -25.500
dtype: float64"," NH   -4.320200e-07
 NO   -1.475000e+01
NH    -1.950000e+01
 N    -2.200000e+01
 NM   -2.225000e+01
dtype: float64","100   -0.006174 
95    -5.256175 
90    -7.006175 
99    -10.506174
98    -12.256174
dtype: float64","NO    -0.000013 
OL    -11.250013
 NO   -16.000013
No    -16.125013
NL    -16.875013
dtype: float64","100   -0.007655 
95    -5.507655 
90    -5.757655 
99    -7.882655 
80    -10.632655
dtype: float64",",     0.000 
 ,   -23.875
;    -24.250
,N   -24.875
，    -25.625
dtype: float64"," NH   -5.512236e-07
 NO   -1.450000e+01
NH    -1.925000e+01
 N    -2.175000e+01
 NM   -2.225000e+01
dtype: float64","100   -0.003825 
95    -5.753825 
90    -7.378825 
99    -10.878825
98    -12.753825
dtype: float64","NO    -0.000007 
OL    -11.875008
 NO   -16.000008
No    -16.125008
NL    -16.750008
dtype: float64","100   -0.011242 
95    -5.011242 
90    -5.511242 
99    -7.761242 
80    -10.261243
dtype: float64",",     0.000 
 ,   -23.750
;    -23.875
,N   -24.750
，    -25.375
dtype: float64"," NH   -9.088346e-07
 NO   -1.400000e+01
NH    -1.925000e+01
 N    -2.125000e+01
 NM   -2.250000e+01
dtype: float64","100   -0.009973 
95    -4.759973 
90    -6.634973 
99    -10.259973
98    -12.009973
dtype: float64"
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,B_conf,"NH90, NO100","NH95, NO100","NH90, NO100","['NH', 'NO']","['NH', 'NO']","['NH', 'NO']","['90', '100']","['95', '100']","['90', '100']","NH    -4.320200e-07
 NH   -1.500000e+01
N     -1.775000e+01
Nh    -1.937500e+01
NA    -2.050000e+01
dtype: float64","90    -0.163755 
95    -1.913755 
100   -6.288755 
85    -6.413755 
80    -10.663755
dtype: float64",",     0.000 
 ,   -25.250
，    -25.875
،    -25.875
;    -26.250
dtype: float64"," NO    -0.000001 
 N     -13.750001
NO     -15.750001
 NH    -16.000002
 NOI   -17.625002
dtype: float64","100   -0.030551
95    -3.530551
90    -8.030551
99    -8.530551
85    -8.780551
dtype: float64","NH    -4.320200e-07
 NH   -1.500000e+01
N     -1.775000e+01
Nh    -1.912500e+01
NA    -2.037500e+01
dtype: float64","90    -0.391461 
95    -1.141461 
100   -5.516460 
85    -7.516460 
80    -12.016460
dtype: float64",",     0.000 
;    -24.500
 ,   -25.000
，    -25.875
،    -26.500
dtype: float64"," NO   -6.704273e-07
 N    -1.525000e+01
 NH   -1.550000e+01
NO    -1.600000e+01
 No   -1.800000e+01
dtype: float64","100   -0.040664
90    -3.290664
95    -6.915664
85    -7.040664
99    -8.040664
dtype: float64","NH    -4.320200e-07
 NH   -1.487500e+01
N     -1.887500e+01
Nh    -1.887500e+01
NA    -2.037500e+01
dtype: float64","90    -0.317624 
95    -1.317624 
100   -5.567624 
85    -7.567624 
80    -11.692624
dtype: float64",",     0.000 
;    -25.500
 ,   -25.875
,N   -26.125
，    -26.875
dtype: float64"," NO    -0.000001 
 N     -13.750001
NO     -16.000002
 NH    -16.500002
 NOI   -17.625002
dtype: float64","100   -0.030479
95    -3.530479
90    -7.905479
99    -8.905478
85    -9.030478
dtype: float64"
